id,Study,Year,PDF link,PDF path,type,tp,fn,fp,tn,n_pos,n_neg,Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Source sheet,region_std,validation_std,prospective_std,vendor_inv,glaucoma_target_std,glaucoma_superclass,age_num,prevalence,modality_std,unit,arm_node,node_type,study_id,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,cohort_id,study_num,test_num,node,node_compare,pos,neg,ai_class
37,Hung (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Hung (2022).pdf,04_fulltext/Hung (2022).pdf,AI-only,46,61,4,201,107,205,image,fundus,"Anderson's visual field criteria (cupping, RNFL defect on colour/red-free fundus or OCT, and glaucomatous VF defect)",Asia,internal,cross-sectional retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"Binary classification, test set, image-based, no demographics",codex_v2,Asia,internal,cross-sectional retrospective,yes,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,"Binary classification, test set, image-based, no demographics",AI-only,Hung (2022),0.4299,0.3401,0.5245,0.9805,0.9509,0.9924,2020-24,medium,Asia,internal,multimodal_objective,unclear,Hung (2022),34,1,AI-only,AI-vs-Reader,107,205,deep learning
38,Akter (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Akter (2022).pdf,04_fulltext/pdfs/Akter (2022).pdf,AI-only,179,1,4,176,180,180,patient,OCT,expert ophthalmologist,Oceania,internal,retrospective,no,confirmed,POAG,55.3,0.5,Proposed CNN (segmented ONH OCT B-scans),claude_pdf,Oceania,internal,retrospective,no,confirmed,n/r,n/r,n/r,OCT,n/r,Proposed CNN (segmented ONH OCT B-scans),AI-only,Akter (2022),0.9944,0.9692,0.9990,0.9778,0.9443,0.9913,2020-24,medium,non-Asia,internal,expert_clinical,unclear,Akter (2022),35,1,AI-only,AI-vs-Reader,180,180,deep learning
39,Al-Aswad (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Al-Aswad (2019).pdf,04_fulltext/pdfs/Al-Aswad (2019).pdf,AI-only,42,8,6,44,50,50,image,fundus,structural+functional,Asia,external,retrospective,yes,confirmed,mixed,58,0.5,Pegasus,claude_pdf,Asia,external,retrospective,yes,confirmed,n/r,n/r,n/r,fundus,n/r,Pegasus,AI-only,Al-Aswad (2019),0.8400,0.7149,0.9166,0.8800,0.7620,0.9438,2015-19,small,Asia,external,multimodal_objective,unclear,Al-Aswad (2019),36,1,AI-only,AI-vs-Reader,50,50,deep learning
40,Al-Aswad (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Al-Aswad (2019).pdf,04_fulltext/pdfs/Al-Aswad (2019).pdf,Human-only,45,5,12,38,50,50,image,fundus,structural+functional,Asia,external,retrospective,yes,confirmed,mixed,58,0.5,Best-case consensus (5 ophthalmologists),claude_pdf,Asia,external,retrospective,yes,confirmed,n/r,n/r,n/r,fundus,n/r,Best-case consensus (5 ophthalmologists),Human-only,Al-Aswad (2019),0.9000,0.7864,0.9565,0.7600,0.6259,0.8570,2015-19,small,Asia,external,multimodal_objective,unclear,Al-Aswad (2019),36,2,Human-only,AI-vs-Reader,50,50,human reader
41,Jan (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Jan (2024).pdf,04_fulltext/pdfs/Jan (2024).pdf,AI-only,1078,2156,176,6490,3234,6666,image,fundus,"Consensus grade by two Australian board-certified glaucoma specialists, with discrepancies adjudicated by a third glaucoma specialist.",Europe,external,retrospective,no,glaucomatous optic neuropathy,any,n/r,n/r,"AI (Inception-v3 CNN) — referable GON, UK Biobank external validation",claude_opus_v4,Europe,external,retrospective,no,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,"AI (Inception-v3 CNN) — referable GON, UK Biobank external validation",AI-only,Jan (2024),0.3333,0.3173,0.3498,0.9736,0.9695,0.9772,2020-24,very large,non-Asia,external,expert_clinical,unclear,Jan (2024),37,1,AI-only,AI-vs-Reader,3234,6666,deep learning
42,Jan (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Jan (2024).pdf,04_fulltext/pdfs/Jan (2024).pdf,Human-only,2104,1130,966,5700,3234,6666,image,fundus,expert ophthalmologist,Europe,external,retrospective,no,referable,unspecified,n/r,0.327,"Optometrists (n=11, AHPRA-registered)",claude_pdf,Europe,external,retrospective,no,referable,n/r,n/r,n/r,fundus,n/r,"Optometrists (n=11, AHPRA-registered)",Human-only,Jan (2024),0.6506,0.6340,0.6668,0.8551,0.8464,0.8633,2020-24,very large,non-Asia,external,expert_clinical,unclear,Jan (2024),37,2,Human-only,AI-vs-Reader,3234,6666,human reader
43,Jan (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Jan (2025).pdf,04_fulltext/Jan (2025).pdf,AI-only,22,14,25,422,36,447,image,fundus,Manual grading by two AHPRA-registered optometrists with ophthalmologist adjudication,Oceania,external,prospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"AI system, image-level referral outcome",codex_v2,Oceania,external,prospective,yes,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,"AI system, image-level referral outcome",AI-only,Jan (2025),0.6111,0.4486,0.7522,0.9441,0.9187,0.9618,2025+,medium,non-Asia,external,expert_clinical,unclear,Jan (2025),38,1,AI-only,AI-vs-Reader,36,447,deep learning
44,Hernandez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hernandez (2026).pdf,04_fulltext/pdfs/Hernandez (2026).pdf,AI-only,64,9,2,73,73,75,image,fundus,"Ophthalmology specialist diagnosis using clinical criteria, primarily cup-to-disc ratio >0.7 plus findings including elevated intraocular pressure, visual field defects, and structural optic nerve head abnormalities; disc/cup segmentations by glaucoma specialists for explainability analysis",Europe,internal,retrospective,no,screening,any,n/r,n/r,"ViT-B/16 (Fold 3, test set Rim-ONE DL + HUC) — best model",claude_opus_v4,Europe,internal,retrospective,no,screening,n/r,n/r,n/r,fundus,n/r,"ViT-B/16 (Fold 3, test set Rim-ONE DL + HUC) — best model",AI-only,Hernandez (2026),0.8767,0.7820,0.9338,0.9733,0.9079,0.9927,2025+,small,non-Asia,internal,expert_clinical,unclear,Hernandez (2026),39,1,AI-only,AI-vs-Reader,73,75,deep learning
45,Zheng (2020),2019,projects/glaucoma-dl-dta-nma/pdfs/Hassan (2019).pdf,04_fulltext/Hassan (2019).pdf,AI-only,146,19,8,47,165,55,image,OCT,"Clinical diagnosis: glaucomatous optic nerve head appearance on color fundus photographs (cupping, peripapillary atrophy, neuroretinal rim notching, RNFL wedge defects, disc hemorrhage), regardless of presence or absence of glaucomatous visual field defects",Asia,internal,prospective,no,glaucomatous optic neuropathy,any,n/r,n/r,Internal test Dataset-C - VGG-16-B,codex_v2,Asia,internal,prospective,no,glaucomatous optic neuropathy,n/r,n/r,n/r,OCT,n/r,Internal test Dataset-C - VGG-16-B,AI-only,Zheng (2020),0.8848,0.8272,0.9250,0.8545,0.7384,0.9244,2015-19,medium,Asia,internal,other,unclear,Zheng (2020),40,1,AI-only,AI-vs-Reader,165,55,deep learning
46,Kim (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Kim (2020).pdf,04_fulltext/Kim (2020).pdf,AI-only,314,7,10,94,321,104,image,OCT,Consensus diagnosis by two glaucoma specialists based on optic disc and RNFL photographs and visual fields.,Asia,both,retrospective,no,POAG,any,n/r,n/r,VGG-19 internal RNFL thickness map (at 90% specificity),codex_v2,Asia,both,retrospective,no,POAG,n/r,n/r,n/r,OCT,n/r,VGG-19 internal RNFL thickness map (at 90% specificity),AI-only,Kim (2020),0.9782,0.9557,0.9894,0.9038,0.8320,0.9469,2020-24,medium,Asia,n/r,expert_clinical,unclear,Kim (2020),41,1,AI-only,AI-vs-Reader,321,104,deep learning
47,Kim (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Kim (2020).pdf,04_fulltext/Kim (2020).pdf,Human-only,311,10,12,92,321,104,image,OCT,Consensus diagnosis by two glaucoma specialists based on optic disc and RNFL photographs and visual fields.,Asia,both,retrospective,no,POAG,any,n/r,n/r,Glaucoma specialist 1 internal RNFL thickness map,codex_v2,Asia,both,retrospective,no,POAG,n/r,n/r,n/r,OCT,n/r,Glaucoma specialist 1 internal RNFL thickness map,Human-only,Kim (2020),0.9688,0.9436,0.9830,0.8846,0.8091,0.9328,2020-24,medium,Asia,n/r,expert_clinical,unclear,Kim (2020),41,2,Human-only,AI-vs-Reader,321,104,human reader
48,Ko (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Ko (2022).pdf,04_fulltext/pdfs/Ko (2022).pdf,AI-only,75,5,2,78,80,80,image,fundus,structural+functional,mixed,external,retrospective,no,confirmed,POAG,58.0,0.499,TVGH core EfficientNet B3 (internal test),claude_pdf,mixed,external,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,TVGH core EfficientNet B3 (internal test),AI-only,Ko (2022),0.9375,0.8619,0.9730,0.9750,0.9134,0.9931,2020-24,small,mixed,external,multimodal_objective,unclear,Ko (2022),42,1,AI-only,AI-vs-Reader,80,80,deep learning
49,Chaurasia (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chaurasia (2025).pdf,04_fulltext/pdfs/Chaurasia (2025).pdf,AI-only,1316,65,47,1983,1381,2030,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,"Best-performing AI model (vgg19_bn), internal validation set",codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"Best-performing AI model (vgg19_bn), internal validation set",AI-only,Chaurasia (2025),0.9529,0.9405,0.9629,0.9768,0.9693,0.9825,2025+,large,mixed,internal,expert_clinical,unclear,Chaurasia (2025),43,1,AI-only,AI-vs-Reader,1381,2030,deep learning
50,Lau (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Lau (2025).pdf,04_fulltext/pdfs/Lau (2025).pdf,AI-only,224,9,2,394,233,396,eye,OCT,combined criteria,North America,external,retrospective,yes,confirmed,unspecified,53.8,0.37,ResNet-50 DLM,claude_pdf,North America,external,retrospective,yes,confirmed,n/r,n/r,n/r,OCT,n/r,ResNet-50 DLM,AI-only,Lau (2025),0.9614,0.9282,0.9795,0.9949,0.9818,0.9986,2025+,medium,non-Asia,external,multimodal_objective,unclear,Lau (2025),44,1,AI-only,AI-vs-Reader,233,396,deep learning
51,El-Nimri (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/El-Nimri (2023).pdf,04_fulltext/pdfs/El-Nimri (2023).pdf,AI-only,342,40,12,82,382,94,eye,OCT,structural+functional,North America,internal,cross-sectional,yes,confirmed,POAG,n/r,0.803,Spectralis RNFLT ST/IT <5th percentile,claude_pdf,North America,internal,cross-sectional,yes,confirmed,n/r,n/r,n/r,OCT,n/r,Spectralis RNFLT ST/IT <5th percentile,AI-only,El-Nimri (2023),0.8953,0.8605,0.9222,0.8723,0.7900,0.9254,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,El-Nimri (2023),45,1,AI-only,AI-vs-Reader,382,94,rule-based (percentile/CDR)
52,Qiu (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Qiu (2025).pdf,04_fulltext/pdfs/Qiu (2025).pdf,AI-only,471,38,60,485,509,545,eye,combined,structural+functional,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.483,Multidimensional imaging model (fundus+RNFL/GCIPL deviation+thickness),claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,combined,n/r,Multidimensional imaging model (fundus+RNFL/GCIPL deviation+thickness),AI-only,Qiu (2025),0.9253,0.8992,0.9451,0.8899,0.8609,0.9135,2025+,large,Asia,internal,multimodal_objective,unclear,Qiu (2025),46,1,AI-only,AI-vs-Reader,509,545,deep learning
53,Rogers (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Rogers (2019).pdf,04_fulltext/pdfs/Rogers (2019).pdf,AI-only,39,9,6,40,48,46,eye,fundus,structural+functional,Europe,external,retrospective,yes,confirmed,unspecified,n/r,0.51,Pegasus v1.0,claude_pdf,Europe,external,retrospective,yes,confirmed,n/r,n/r,n/r,fundus,n/r,Pegasus v1.0,AI-only,Rogers (2019),0.8125,0.6806,0.8981,0.8696,0.7433,0.9388,2015-19,small,non-Asia,external,multimodal_objective,unclear,Rogers (2019),47,1,AI-only,AI-vs-Reader,48,46,deep learning
54,Rogers (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Rogers (2019).pdf,04_fulltext/pdfs/Rogers (2019).pdf,Human-only,36,12,6,40,48,46,eye,fundus,structural+functional,Europe,external,retrospective,yes,confirmed,unspecified,n/r,0.51,Ophthalmologists (mean of 243),claude_pdf,Europe,external,retrospective,yes,confirmed,n/r,n/r,n/r,fundus,n/r,Ophthalmologists (mean of 243),Human-only,Rogers (2019),0.7500,0.6122,0.8508,0.8696,0.7433,0.9388,2015-19,small,non-Asia,external,multimodal_objective,unclear,Rogers (2019),47,2,Human-only,AI-vs-Reader,48,46,human reader
55,Li (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Li (2021).pdf,04_fulltext/pdfs/Li (2021).pdf,AI-only,2867,61,271,9769,2928,10040,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,referable,unspecified,n/r,0.192,InceptionResNetV2 (TOPP external set),claude_pdf,Asia,external,retrospective,yes,referable,n/r,n/r,n/r,fundus,n/r,InceptionResNetV2 (TOPP external set),AI-only,Li (2021),0.9792,0.9733,0.9837,0.9730,0.9697,0.9760,2020-24,very large,Asia,external,expert_clinical,unclear,Li (2021),48,1,AI-only,AI-vs-Reader,2928,10040,deep learning
56,Li (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Li (2021).pdf,04_fulltext/pdfs/Li (2021).pdf,Human-only,227,8,72,981,235,1053,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,referable,unspecified,n/r,0.192,Ophthalmologist (6 years experience),claude_pdf,Asia,external,retrospective,yes,referable,n/r,n/r,n/r,fundus,n/r,Ophthalmologist (6 years experience),Human-only,Li (2021),0.9660,0.9343,0.9827,0.9316,0.9148,0.9454,2020-24,large,Asia,external,expert_clinical,unclear,Li (2021),48,2,Human-only,AI-vs-Reader,235,1053,human reader
57,Li (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Li (2022).pdf,04_fulltext/pdfs/Li (2022).pdf,AI-only,313,11,56,849,324,905,image,fundus,"Two certified ophthalmologists (6 and 10 years) independently grading fundus images, arbitrated by senior ophthalmologist with 19 years when disagreement",Asia,external (independent dataset),prospective,yes,glaucoma suspect (GCS),any,n/r,n/r,"AI screening algorithm — GCS, internal validation (pre-deployment, n=1229)",claude_opus_v4,Asia,external (independent dataset),prospective,yes,glaucoma suspect (GCS),n/r,n/r,n/r,fundus,n/r,"AI screening algorithm — GCS, internal validation (pre-deployment, n=1229)",AI-only,Li (2022),0.9660,0.9402,0.9809,0.9381,0.9205,0.9520,2020-24,large,Asia,external,expert_clinical,unclear,Li (2022),49,1,AI-only,AI-vs-Reader,324,905,deep learning
58,Li (2022),2022b,projects/glaucoma-dl-dta-nma/pdfs/Li (2022).pdf,04_fulltext/pdfs/Li (2022).pdf,Human-only,359,9,9,1208,368,1217,patient,fundus,expert ophthalmologist,Asia,external,prospective,yes,referable,unspecified,53.19,0.232,Ophthalmologist Grader 1 (6 years experience),claude_pdf,Asia,external,prospective,yes,referable,n/r,n/r,n/r,fundus,n/r,Ophthalmologist Grader 1 (6 years experience),Human-only,Li (2022),0.9755,0.9542,0.9871,0.9926,0.9860,0.9961,n/r,large,Asia,external,expert_clinical,unclear,Li (2022),49,2,Human-only,AI-vs-Reader,368,1217,human reader
59,Hemelings (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Hemelings (2023).pdf,04_fulltext/pdfs/Hemelings (2023).pdf,AI-only,2797,314,9691,87220,3111,96911,image,fundus,combined criteria,mixed,external,retrospective,no,mixed,mixed,n/r,n/r,G-RISK on AIROGS,claude_pdf,mixed,external,retrospective,no,mixed,n/r,n/r,n/r,fundus,n/r,G-RISK on AIROGS,AI-only,Hemelings (2023),0.8991,0.8880,0.9092,0.9000,0.8981,0.9019,2020-24,very large,mixed,external,multimodal_objective,unclear,Hemelings (2023),50,1,AI-only,AI-vs-Reader,3111,96911,deep learning
60,Wei (2025),2025b,projects/glaucoma-dl-dta-nma/pdfs/Wei (2025).pdf,04_fulltext/pdfs/Wei (2025).pdf,Human-only,271,25,152,5704,296,5856,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,screening,unspecified,n/r,0.0481,CARE (Comprehensive AI Retinal Expert),claude_pdf,Asia,external,retrospective,yes,screening,n/r,n/r,n/r,fundus,n/r,CARE (Comprehensive AI Retinal Expert),Human-only,Wei (2025),0.9155,0.8783,0.9421,0.9740,0.9696,0.9778,n/r,very large,Asia,external,expert_clinical,unclear,Wei (2025),51,2,Human-only,AI-vs-Reader,296,5856,human reader
61,Xu (2021)b,2021,projects/glaucoma-dl-dta-nma/pdfs/Xu (2021)b.pdf,04_fulltext/pdfs/Xu (2021)b.pdf,AI-only,2770,114,207,3210,2884,3417,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,referable,unspecified,51.9,0.424,"HDLS (validation dataset 1, internal)",claude_pdf,Asia,external,retrospective,yes,referable,n/r,n/r,n/r,fundus,n/r,"HDLS (validation dataset 1, internal)",AI-only,Xu (2021)b,0.9605,0.9527,0.9670,0.9394,0.9309,0.9469,2020-24,very large,Asia,external,expert_clinical,unclear,Xu (2021)b,52,1,AI-only,AI-vs-Reader,2884,3417,deep learning
62,Shibata (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Shibata (2018).pdf,04_fulltext/pdfs/Shibata (2018).pdf,AI-only,1880,87,480,5553,1967,6033,image,fundus,expert ophthalmologist,Asia,internal,retrospective,yes,referable,unspecified,n/r,0.246,Inception-v3 deep learning system,claude_pdf,Asia,internal,retrospective,yes,referable,n/r,n/r,n/r,fundus,n/r,Inception-v3 deep learning system,AI-only,Shibata (2018),0.9558,0.9458,0.9640,0.9204,0.9133,0.9270,2015-19,very large,Asia,internal,expert_clinical,unclear,Shibata (2018),53,1,AI-only,AI-vs-Reader,1967,6033,deep learning
63,MacCormick (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/MacCormick (2019).pdf,04_fulltext/MacCormick (2019).pdf,AI-only,96,0,4,225,96,229,image,fundus,Clinical glaucoma diagnosis (dataset labels from ORIGA and RIM-ONE),mixed,both,retrospective,no,glaucomatous optic neuropathy,any,n/r,n/r,"Internal validation, ORIGA, semi-automated segmentation",codex_v2,mixed,both,retrospective,no,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,"Internal validation, ORIGA, semi-automated segmentation",AI-only,MacCormick (2019),1.0000,0.9615,1.0000,0.9825,0.9560,0.9932,2015-19,medium,mixed,n/r,dataset_label,unclear,MacCormick (2019),54,1,AI-only,AI-vs-Reader,96,229,deep learning
64,Bisneto (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Bisneto (2020).pdf,04_fulltext/pdfs/Bisneto (2020).pdf,AI-only,270,0,0,286,270,286,image,fundus,Original public dataset glaucoma/no-glaucoma labels; specific clinical reference standard not reported.,mixed,internal,retrospective,no,any,any,n/r,n/r,"Proposed method (cGAN + taxonomic diversity indexes, all RGB+grayscale channels, CLAHE, internal+external masks) — MLP classifier, Drishti-GS + RIM-ONE v2 combined (10-fold CV)",claude_opus_v4,mixed,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,"Proposed method (cGAN + taxonomic diversity indexes, all RGB+grayscale channels, CLAHE, internal+external masks) — MLP classifier, Drishti-GS + RIM-ONE v2 combined (10-fold CV)",AI-only,Bisneto (2020),1.0000,0.9860,1.0000,1.0000,0.9867,1.0000,2020-24,medium,mixed,internal,dataset_label,unclear,Bisneto (2020),55,1,AI-only,AI-vs-Reader,270,286,deep learning
65,Vali (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Vali (2023).pdf,04_fulltext/pdfs/Vali (2023).pdf,AI-only,731,36,25,1030,767,1055,image,fundus,combined criteria,mixed,external,cross-sectional,no,confirmed,mixed,n/r,0.421,DenseNet121 (internal validation),claude_pdf,mixed,external,cross-sectional,no,confirmed,n/r,n/r,n/r,fundus,n/r,DenseNet121 (internal validation),AI-only,Vali (2023),0.9531,0.9357,0.9659,0.9763,0.9653,0.9839,2020-24,large,mixed,external,multimodal_objective,unclear,Vali (2023),56,1,AI-only,AI-vs-Reader,767,1055,deep learning
66,Vali (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Vali (2023).pdf,04_fulltext/Vali (2023).pdf,Human-only,108,44,29,134,152,163,image,fundus,"Medical-record clinical diagnosis by 3 neuro-ophthalmologists and 2 glaucoma specialists using optic disc, visual field, intraocular pressure, and clinical etiologic criteria.",mixed,both,cross-sectional,no,glaucomatous optic neuropathy,any,n/r,n/r,"Senior glaucoma specialist, external GON vs NGON (reported text comparison)",codex_v2,mixed,both,cross-sectional,no,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,"Senior glaucoma specialist, external GON vs NGON (reported text comparison)",Human-only,Vali (2023),0.7105,0.6339,0.7767,0.8221,0.7562,0.8732,2020-24,medium,mixed,n/r,expert_clinical,unclear,Vali (2023),56,2,Human-only,AI-vs-Reader,152,163,human reader
67,Mariottoni (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Mariottoni (2021).pdf,04_fulltext/pdfs/Mariottoni (2021).pdf,AI-only,820,241,53,1004,1061,1057,image,fundus,structural+functional,North America,internal,retrospective,unclear,confirmed,unspecified,58.1,0.501,ResNet50 DL algorithm,claude_pdf,North America,internal,retrospective,unclear,confirmed,n/r,n/r,n/r,fundus,n/r,ResNet50 DL algorithm,AI-only,Mariottoni (2021),0.7729,0.7467,0.7971,0.9499,0.9350,0.9615,2020-24,large,non-Asia,internal,multimodal_objective,unclear,Mariottoni (2021),57,1,AI-only,AI-vs-Reader,1061,1057,deep learning
68,Muhammad (2017),2017,projects/glaucoma-dl-dta-nma/pdfs/Muhammad (2017).pdf,04_fulltext/pdfs/Muhammad (2017).pdf,AI-only,54,3,4,41,57,45,eye,OCT,expert ophthalmologist,North America,internal,retrospective,yes,confirmed,POAG,n/r,0.559,HDLM (RNFL probability map),claude_pdf,North America,internal,retrospective,yes,confirmed,n/r,n/r,n/r,OCT,n/r,HDLM (RNFL probability map),AI-only,Muhammad (2017),0.9474,0.8563,0.9819,0.9111,0.7927,0.9649,2015-19,small,non-Asia,internal,expert_clinical,unclear,Muhammad (2017),58,1,AI-only,AI-vs-Reader,57,45,deep learning
69,Nakahara (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Nakahara (2022).pdf,04_fulltext/pdfs/Nakahara (2022).pdf,AI-only,75,4,5,88,79,93,eye,fundus,expert ophthalmologist,Asia,external,retrospective,yes,confirmed,unspecified,66.2,0.459,ResNet-34 (fundus camera),claude_pdf,Asia,external,retrospective,yes,confirmed,n/r,n/r,n/r,fundus,n/r,ResNet-34 (fundus camera),AI-only,Nakahara (2022),0.9494,0.8769,0.9801,0.9462,0.8803,0.9768,2020-24,small,Asia,external,expert_clinical,unclear,Nakahara (2022),59,1,AI-only,AI-vs-Reader,79,93,deep learning
70,Bouris (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Bouris (2026).pdf,04_fulltext/Bouris (2026).pdf,AI-only,5708,37,102,5098,5745,5200,image,fundus,"Optic disc photographs independently graded by two glaucoma specialists, with disagreements adjudicated by a third expert; grader labels used as ground truth",mixed,internal,retrospective,no,POAG,any,n/r,n/r,ViT training set,codex_v2,mixed,internal,retrospective,no,POAG,n/r,n/r,n/r,fundus,n/r,ViT training set,AI-only,Bouris (2026),0.9936,0.9911,0.9953,0.9804,0.9762,0.9838,2025+,very large,mixed,internal,expert_clinical,unclear,Bouris (2026),60,1,AI-only,AI-vs-Reader,5745,5200,deep learning
71,Shi (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Shi (2024).pdf,04_fulltext/Shi (2024).pdf,AI-only,701,60,65,512,761,577,image,fundus,paired OCT optic disc and/or macula scan results plus ophthalmologist labelling of GON,Asia,internal,retrospective,no,glaucomatous optic neuropathy,any,n/r,n/r,"SVM model A, entire image, 10-fold cross-validation",codex_v2,Asia,internal,retrospective,no,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,"SVM model A, entire image, 10-fold cross-validation",AI-only,Shi (2024),0.9212,0.8998,0.9383,0.8873,0.8589,0.9106,2020-24,large,Asia,internal,expert_clinical,unclear,Shi (2024),61,1,AI-only,AI-vs-Reader,761,577,deep learning
72,Oh (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Oh (2021).pdf,04_fulltext/pdfs/Oh (2021).pdf,AI-only,916,59,28,621,975,649,image,multimodal,"Diagnosis by three glaucoma specialists based on characteristic glaucomatous optic disc structural change accompanied by glaucomatous visual field defect; controls required normal ocular findings, no RNFL or visual field defects, and IOP ≤21 mmHg",Asia,internal,retrospective,no,POAG or NTG,any,n/r,n/r,XGboost (proposed model),claude_opus_v4,Asia,internal,retrospective,no,POAG or NTG,n/r,n/r,n/r,multimodal,n/r,XGboost (proposed model),AI-only,Oh (2021),0.9395,0.9227,0.9528,0.9569,0.9384,0.9700,2020-24,large,Asia,internal,expert_clinical,unclear,Oh (2021),62,1,AI-only,AI-vs-Reader,975,649,classical ML
73,Hemelings (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Hemelings (2023).pdf,04_fulltext/pdfs/Hemelings (2023).pdf,Human-only,42,4,5,249,46,254,image,fundus,expert ophthalmologist,Asia,external,prospective,no,referable,unspecified,n/r,0.153,"General ophthalmologists (overall, representative grading)",claude_pdf,Asia,external,prospective,no,referable,n/r,n/r,n/r,fundus,n/r,"General ophthalmologists (overall, representative grading)",Human-only,Hemelings (2023),0.9130,0.7968,0.9657,0.9803,0.9548,0.9916,2020-24,medium,Asia,external,expert_clinical,unclear,Hemelings (2023),50,2,Human-only,AI-vs-Reader,46,254,human reader
74,Orlando (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Orlando (2020).pdf,04_fulltext/pdfs/Orlando (2020).pdf,AI-only,39,1,54,306,40,360,image,fundus,"Clinical diagnosis from comprehensive ophthalmologic evaluation including clinical records, follow-up fundus images, intraocular pressure, OCT and visual fields; glaucoma defined by optic nerve head damage with reproducible glaucomatous visual field defects.",Asia,internal,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"VRT (deep learning ensemble, REFUGE onsite test set)",claude_opus_v4,Asia,internal,retrospective,yes,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,"VRT (deep learning ensemble, REFUGE onsite test set)",AI-only,Orlando (2020),0.9750,0.8712,0.9956,0.8500,0.8094,0.8832,2020-24,medium,Asia,internal,multimodal_objective,unclear,Orlando (2020),63,1,AI-only,AI-vs-Reader,40,360,deep learning
75,Orlando (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Orlando (2020).pdf,04_fulltext/pdfs/Orlando (2020).pdf,Human-only,34,6,32,328,40,360,image,fundus,structural+functional,Asia,external,retrospective,yes,confirmed,mixed,n/r,0.1,Glaucoma expert 1,claude_pdf,Asia,external,retrospective,yes,confirmed,n/r,n/r,n/r,fundus,n/r,Glaucoma expert 1,Human-only,Orlando (2020),0.8500,0.7093,0.9294,0.9111,0.8772,0.9363,2020-24,medium,Asia,external,multimodal_objective,unclear,Orlando (2020),63,2,Human-only,AI-vs-Reader,40,360,human reader
