Study,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct
Hemelings (2023),2023,"mixed: external datasets from Australia, Germany, United States, Singapore, China, and Spain; model-development data from Belgium",mixed,mixed,retrospective,149455,,,,,fundus,G-RISK; custom ResNet-50 convolutional neural network regression model; comparator binary classification CNN,"Dataset-specific glaucoma ground truth labels, including expert clinical/ophthalmic assessment, VCDR or ISGEO-based cohort definitions, and public challenge labels; thresholded as referable/suspected glaucoma where applicable",external,yes,any,1.08-56.17
Wei (2025),2025,China,Asia,hospital,retrospective,6152,296,5856,45 median (range 6-95),50.4,fundus,Comprehensive AI Retinal Expert (CARE) system,Double-blind review of color fundus images by two associate chief ophthalmologists specializing in retinal diseases; disagreements adjudicated by a third chief ophthalmologist,external,unclear,other,4.8
Liao (2020),2020,Singapore,Asia,research,retrospective,650,168,482,,,fundus,EAMNet,"clinical glaucoma diagnoses in the ORIGA dataset; manual cup/disc labels were used as ground truth for segmentation, not as the glaucoma diagnosis reference standard",internal,no,glaucoma diagnosis,25.85
Xu (2021)b,2021,China,Asia,hospital,retrospective,8265,3503,4762,training 52.6; validation 1 51.9; validation 2 53.8; validation 3 54.3,training 54.6; validation 1 49.7; validation 2 51.9; validation 3 48.2,fundus,"Hierarchical deep learning system (HDLS): Inception-v3 pre-diagnosis classification network, U-shaped/U-Net-style segmentation networks for OD, OC and RNFLD, and SVM/decision-tree final diagnosis using RNFLD, MCDR and ISNT score","Initial database labels were based on clinical diagnosis using fundus image, visual field and intraocular pressure; final included-image grading used a two-tier process with quality control followed by two senior glaucoma specialists independently classifying fundus images as unlikely, probable or definite GON using defined criteria, with referable GON defined as probable or definite and poor-quality/disagreement cases excluded.",both,unclear,glaucomatous optic neuropathy,47.9
Lin (2022),2022,United States; China,mixed,mixed,mixed,42194,4032,38162,,,fundus,GlaucomaNet; DenseNet-201; ResNet-152; VGG-16; NASNetMobile; Xception; MobileNetV2; ResNet-50; ensemble methods,"OHTS: Visual Field Reading Center and Optic Disc Reading Center assessments with masked senior adjudication/Endpoint Committee criteria; LAG: qualified glaucoma specialists using morphology, intraocular pressure, visual field loss, and manual optic disc assessment.",internal,no,POAG,Overall 9.6%; OHTS 6.2%; LAG 35.2%
Shibata (2018),2018,China,Asia,hospital,retrospective,8000,1967,6033,,,fundus,Inception-v3 deep learning algorithm (model version 20170811),Consensus grading of color fundus photographs by trained ophthalmologists until 3 graders achieved agreement; referable GON was defined as suspect or certain GON.,internal,yes,glaucomatous optic neuropathy,24.6
MacCormick (2019),2019,Singapore; Spain,mixed,mixed,retrospective,809,188,586,,,fundus,Spatial probabilistic hierarchical model of 24-direction cup/disc ratio profile (pCDR); DenseNet-based FCN for automated segmentation,Clinical glaucoma diagnosis (dataset labels from ORIGA and RIM-ONE),both,no,glaucomatous optic neuropathy,25.8% (ORIGA image-level prevalence: 168 glaucomatous images / 650 images)
Thakoor (2021)b,2021,USA,North America,hospital,retrospective,872,,,,,OCT,"End-to-end CNNs (InceptionV3+FC, ResNet-18+FC, VGG-16+FC, DenseNet-121+FC) and CNN ensemble; comparator hybrid DL/ML models (Conv+FC, Conv+RF, VGG-16+RF, ResNet-18+RF, InceptionV3+RF)",Grading by a single OCT expert (D.C.H.) reviewing full OCT reports; binary G/NG threshold at score >50 on a 0-100 scale,external (independent dataset),no,glaucomatous optic neuropathy,
Maetschke (2021),2021,Spain,Europe,hospital,retrospective,320,144,176,50.13,55.50,OCT,RAGNet-VGG16 + LSTM + Sequential-Weighting Module (CNN-LSTM),"Expert ophthalmologist diagnosis using European glaucoma guideline protocol including IOP by Goldmann applanation tonometry, central corneal thickness, gonioscopy, slit-lamp optic nerve head assessment, standard automated perimetry, and OCT/HRT RNFL and ganglion cell layer assessment",both,no,confirmed,45.0
Bisneto (2020),2020,India; Spain,mixed,research,retrospective,2482,706,1776,,,fundus,"Conditional GAN (Pix2pix; U-net generator + PatchGAN discriminator) for OD segmentation plus taxonomic diversity/taxonomic distinction texture features, classified with MLP, SMO, and Random Forest; best setting used all channels with CLAHE and internal/external masks.",Original public dataset glaucoma/no-glaucoma labels; specific clinical reference standard not reported.,internal,no,any,48.4%
Vali (2023),2023,Iran; Thailand; United States; one publicly accessible external dataset with country not reported.,mixed,hospital,cross-sectional,2183,828,1355,,,fundus,"DenseNet121 as the best-performing/final classifier, with OD-SEG modified U-Net optic disc segmentation; other tested ImageNet transfer-learning classifiers included VGG16, ResNet18, InceptionV3, MobileNet, and Vision Transformer.","Medical-record clinical diagnosis by 3 neuro-ophthalmologists and 2 glaucoma specialists using optic disc, visual field, intraocular pressure, and clinical etiologic criteria.",both,no,glaucomatous optic neuropathy,48.25
Mariottoni (2021),2021,USA,North America,hospital,retrospective,2118,1061,1057,62.8 glaucoma; 52.9 normal,48.8 glaucoma; 70.3 normal,fundus,"ResNet50 deep learning algorithm (transfer learning, ImageNet pre-trained)",Objective definition of glaucomatous optic neuropathy (GON) based on corresponding structural (SDOCT peripapillary RNFL) and functional (SAP 24-2 SITA) damage,internal,no,glaucomatous optic neuropathy,50.1
Muhammad (2017),2017,USA,North America,hospital,retrospective,102,57,45,,,OCT,Hybrid Deep Learning Method (HDLM): AlexNet CNN feature extraction + Random Forest classifier,"Consensus classification by two glaucoma specialists using 24-2 and 10-2 visual fields, fundus photographs, patient chart information, and a single-page OCT report; eyes judged glaucomatous/probably glaucomatous by both were cases and healthy/probably healthy by both were controls",internal,yes,glaucomatous eyes among patients with glaucoma or suspected open-angle glaucoma,55.9
Nakahara (2022),2022,Japan,Asia,hospital,retrospective,162,73,89,66.5,43.2,fundus,34-layer ResNet deep learning algorithm,"Diagnosis independently judged by three ophthalmologists specialising in glaucoma according to Japan Glaucoma Society Guidelines using fundus photographs; cases were included only when all three examiners agreed, and VF results were not considered for the testing-set diagnosis.",external,yes,glaucomatous optic neuropathy,45.1
Bouris (2026),2026,USA; Spain,mixed,mixed,retrospective,2087,1432,655,66.8,55.7 (UCLA glaucoma cohort only),fundus,Vision Transformer (ViT; vit-base-patch16-224-in21k) classifier with RimNet preprocessing; EfficientNetV2B0 comparator,"Optic disc photographs independently graded by two glaucoma specialists, with disagreements adjudicated by a third expert; grader labels used as ground truth",internal,no,POAG,68.6
Sujithra (2024),2023,Singapore and India,Asia,mixed,retrospective,8346,,,,,fundus,Gray Wolf Optimization with deep convolutional neural network-based ResNet50 transfer learning classifier,dataset labels/clinical diagnosis; exact reference standard n/r,internal,no,any,
Shi (2024),2024,China,Asia,hospital,retrospective,1338,761,577,control 48.3; probable GON 52.4; definite GON 62.9,control 55.8; probable GON 47.7; definite GON 43.3,fundus,"ARIA method using ResNet50 feature generation, penalised GLM feature selection, SVM and logistic regression classifiers",paired OCT optic disc and/or macula scan results plus ophthalmologist labelling of GON,internal,no,glaucomatous optic neuropathy,56.9
Oh (2021),2021,Korea,Asia,hospital,retrospective,1624,975,649,56.9,42.9,multimodal,"Support vector machine, C5.0, random forest, XGBoost; proposed web explanation system named Magellan","Diagnosis by three glaucoma specialists based on characteristic glaucomatous optic disc structural change accompanied by glaucomatous visual field defect; controls required normal ocular findings, no RNFL or visual field defects, and IOP ≤21 mmHg",internal,no,POAG or NTG,60.0
Omar (2021),2021,South Korea,Asia,research,retrospective,499,297,202,,,multimodal,GLAUDIA ensemble (Logistic Regression + Random Forest + SVM-linear + KNN + Decision Tree); evaluated as majority-voting and consensus ensembles,Diagnosis label in Kim et al. Dryad dataset; clinical reference standard not described,internal,no,POAG,59.5
Hemelings (2023),2023,China,Asia,mixed,prospective,300,46,254,,,fundus,"Deep learning system (DLS) containing eight convolutional neural networks, Version 20,171,024, all adopting Inception-v3 architecture",Consensus of 5 glaucoma specialists (≥50% agreement) using standardized referable GON criteria (VCDR ≥0.7; rim width ≤0.1 disk diameter; localized notches; RNFL defect and/or disk hemorrhage),external,no,glaucomatous optic neuropathy,15.3
Orlando (2020),2020,China,Asia,hospital,retrospective,400,40,360,,55,fundus,"REFUGE on-site glaucoma classification methods from 12 teams: VRT, SDSAIRC, CUHKMED, NKSG, Mammoth, Masker, SMILEDeepDR, BUCT, WinterFell, NightOwl, Cvblab, and AIML; ground-truth vCDR was reported as a non-AI comparison baseline.","Clinical diagnosis from comprehensive ophthalmologic evaluation including clinical records, follow-up fundus images, intraocular pressure, OCT and visual fields; glaucoma defined by optic nerve head damage with reproducible glaucomatous visual field defects.",internal,yes,glaucomatous optic neuropathy,10.0
Juneja (2020),2020,India,Asia,research,retrospective,267,145,122,,,fundus,"GC-NET (proposed); also evaluated against Xception, InceptionV3, ResNet50, DenseNet121, and VGG16",Dataset ground-truth labels (normal/glaucoma or normal/abnormal) from DRISHTI-GS and RIM-ONE,internal,no,Classification of retinal fundus images as glaucomatous/abnormal versus normal/non-glaucomatous,54.31
Pandey (2024),2024,mixed,mixed,research,retrospective,100,25,75,,,fundus,Deep convolutional ensemble of five InceptionV3 CNNs pretrained on ImageNet,"Original public dataset disease labels/diagnoses as determined by the source institutions, without reclassification",internal (same-source split),no,any,25
Islam (2025),2025,Bangladesh,Asia,hospital,retrospective,208,100,108,,,multimodal,ResNet-18 fundus-only model; custom CNN OCT-only model; dual-branch mid-level feature fusion model using fundus + OCT,Expert clinician diagnosis based on comprehensive clinical evaluation,internal,no,any,48.1
Garcia-Lopez (2026),2026,"mixed: Spain, Singapore, China, Bangladesh, Pakistan, Mexico, unknown",mixed,mixed,retrospective,163,31,132,,,multimodal,"CNN ensemble (ResNet50, DenseNet169, InceptionV3 for CFP; MobileNetV3, Xception, ResNet50 for OCT) with MBWVe metric-based weighted voting selected as the final multimodal fusion approach",Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,both,no,any,19.0
Yang (2020),2020,South Korea,Asia,hospital,retrospective,3815,486,3329,,,fundus,"ResNet-50 CNN (Keras/TensorFlow, ImageNet transfer learning)","Two expert neuro-ophthalmologists, corroborated by visual field testing and OCT; GON required clinical glaucoma with progressive optic disc change/RNFL thinning/repeatable glaucomatous visual field defect, and NGON causes were confirmed by brain MRI plus laboratory/genetic evaluation as applicable.",internal,no,glaucomatous optic neuropathy,4.0
Phene (2019),2019,United States; India; United Kingdom,mixed,mixed,retrospective,11193,1391,9802,median 57 years in validation A; median 64 years in validation B; n/r in validation C,53.2% in validation A; 4.7% in validation B; n/r in validation C,fundus,10-network Inception-v3 deep convolutional neural network ensemble,"Validation A: glaucoma specialist grading/adjudication of fundus photographs by panels of 3 fellowship-trained glaucoma specialists; Validation B: glaucoma-related ICD codes and ONH referral codes from VA diabetic teleretinal screening records; Validation C: glaucoma specialist eye-level diagnosis based on a full glaucoma workup including history, clinical examination, visual field testing, and OCT.",both,yes,glaucomatous optic neuropathy,12.4% overall validation; 18.1% validation A; 9.2% validation B; 81.7% validation C
Jammal (2020),2020,USA,North America,hospital,cross-sectional,490,210,280,60.5,52.7,fundus,Machine-to-machine deep learning algorithm; ResNet34 predicting SD-OCT RNFL thickness from fundus photographs,Repeatable glaucomatous visual field defects on standard automated perimetry (SAP),internal,no,glaucomatous optic neuropathy,42.9
Ramzan (2019),2019,Pakistan,Asia,hospital,cross-sectional,50,27,23,,,OCT,Automated ILM/RPE segmentation with computed cup-to-disc ratio threshold classification,Clinical CDR annotations by ophthalmologists; best reported comparison used senior ophthalmologist 4 as reference,internal,no,any,54
Lee (2020),2019,Japan,Asia,hospital,mixed,196,114,82,58.0,61.7,OCT,"Deep learning CNN with transfer learning (6 convolutional layers, 3 max-pooling layers, 3 fully connected layers; Chainer); comparators were random forests and support vector machine models",Glaucoma specialist diagnosis based on ophthalmoscopically apparent glaucomatous optic disc change confirmed by a panel of glaucoma specialists plus glaucomatous visual field change by Anderson-Patella criteria; MD > -5 dB for early glaucoma datasets,external (independent testing dataset),no,"Primary open-angle glaucoma / open-angle glaucoma, specifically early OAG with MD > -5 dB in the training and testing datasets",58.2
Zemborain (2020),2020,USA,North America,hospital,prospective,100,64,36,55.5,35.0,OCT,human OCT specialist (no AI/DL; Spectralis HRA+OCT Glaucoma Module Premium scans),"glaucoma specialist classification using all available information (family history, repeat visits, IOP, 10-2 and 24-2 visual fields, OCT)",internal (same-source split),yes (industry author/funding),glaucomatous optic neuropathy,64.0
Rasel (2024),2024,United Kingdom for the UK Biobank macular-OCT dataset; source country not stated in the PDF for the Maetschke ONH-OCT public dataset,mixed,research,retrospective,3088,1295,1793,,,OCT,"2D-ResNet18, 3D-ResNet18, 3D-DenseNet121, 3D-CNN-Encoder",ICD-10 H40.1 (POAG) for UKB; provided dataset labels (POAG) for Maetschke ONH-OCT,internal,no,POAG,41.9
Civit-Masot (2020),2020,Spain,Europe,research,retrospective,252,,,,,fundus,Dual system combining Generalized U-Net disc/cup segmentation with CDR feature extraction and MobileNetV2 transfer-learning fundus classification; ensemble fusion,Public dataset labels certified by a professional/ophthalmologist; manual disc/cup labels for segmentation ground truth,internal,unclear,any,
Rodriguez-Robles (2023),2023,Spain,Europe,hospital,retrospective,208,47,161,61.61,64.9,multimodal,decision trees; support vector machines,"ophthalmologist classification of patients as healthy, glaucoma, or suspicious",internal,no,any,22.6
Russakoff (2020),2020,United States; Hong Kong; India,mixed,hospital,retrospective,1936,1135,801,US referable 68.25; US nonreferable 67.59; Hong Kong referable 65.9; Hong Kong nonreferable 65.27; India referable 63.84; India nonreferable 54.763,,OCT,gNet3D 3D convolutional neural network; comparator Maetschke et al. 3D CNN framework,"Multimodal clinical assessment (fundus photographs, visual fields, OCT RNFL/GCIPL, IOP, treatment history, chart review) labeled by glaucoma fellowship-trained specialists",both,yes,other: referable glaucoma,58.6
Alryalat (2024),2024,China,Asia,research,retrospective,400,40,360,,,fundus,multimodal ChatGPT-4,ONH damage and reproducible visual field defects (REFUGE dataset labels),external,no,"glaucoma / glaucomatous vs non-glaucomatous classification, including POAG and NTG cases in REFUGE",10
Nugraha (2025),2025,mixed public datasets,mixed,research,retrospective,12316,4767,7549,,,fundus,"InceptionV3, ResNet50, DenseNet121, and MobileNetV2 CNNs with binary cross-entropy, focal loss, and weighted binary cross-entropy; Grad-CAM used for visual explanation","Original labels inherited from the 19 contributing public datasets (trained graders, ophthalmologists, or glaucoma specialists based on fundus photograph evaluation, sometimes supplemented by ancillary clinical data such as IOP or optic disc notes; criteria not standardized across datasets)",internal,no,any,38.7
Sanchez-Morales (2022),2022,Spain,Europe,mixed,retrospective,2195,875,1252,,,fundus,Ensemble (CNN + CapsNet + CDAE) with K-NN soft voting,Original public dataset labels for JOINT dataset; expert ophthalmologist diagnosis for PAPILA dataset,internal,no,any,39.9
Senthil (2025),2025,India,Asia,hospital,prospective,213,162,51,55,38,fundus,Medios Glaucoma AI integrated on Remidio Fundus on Phone FOP NM10 smartphone-based fundus camera,"Comprehensive glaucoma workup and final diagnosis by glaucoma specialist using clinical assessment, visual fields, SD-OCT, and fundus/optic disc examination",external,yes,any,76.06
Krishnaadithya (2021),2020,Turkey,Asia,research,retrospective,1542,756,786,,,fundus,"Graph-based saliency + ensemble of CNNs (AlexNet, ResNet-50, ResNet-152) with SP/PP/MV/SMP fusion","Ahn et al. public fundus image dataset labels: no glaucoma, early glaucoma, advanced glaucoma",internal,no,any,49.0
Krishnaadithya (2021),2021,Singapore; India,Asia,research,retrospective,751,238,513,,,fundus,EffUnet-SpaGen,manual annotation by ophthalmologist with best-fitting ellipse and grader consensus,both,no,confirmed,35.6
Shehryar (2020),2020,Pakistan,Asia,hospital,cross-sectional,50,28,22,,,multimodal,H-CAD hybrid computer-aided diagnosis system using fundus HSF/HTF SVM modules and SD-OCT CDR module,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,both,no,any glaucoma,56.0
Shen (2023),2023,China,Asia,research,retrospective,8351,3340,5011,,,fundus,MG-Efficient Net; mask-guided EfficientNetV2-S using U-Net++/ResNet50 OD/OC segmentation masks,public dataset glaucoma diagnostic labels; specific diagnostic criteria n/r,internal,no,any,40.0
Hirota (2020),2020,Japan,Asia,hospital,retrospective,337,207,130,,,fundus,"Fine-tuned VGG16 convolutional neural network; RGB, grayscale, and red/green/blue channel variants","Complete ophthalmological examination and review by a glaucoma specialist using Japan Glaucoma Society Guidelines; exams included OCT, IOP, Humphrey visual field, and visual acuity",both,yes,any,61.4
Schottenhamml (2021),2021,Germany,Europe,hospital,retrospective,259,184,75,50.6,45.4,OCT-A,"ResNet-50 deep learning models for referable glaucoma, increased cup-to-disc ratio, disc rim narrowing, and retinal nerve fiber layer defect","Three board-trained ophthalmologists annotated fundus images using ISGEO-based criteria; referable glaucoma was glaucoma suspect or glaucoma most likely based on vertical cup-to-disc ratio, disc rim narrowing, disc hemorrhage, or RNFLD",internal,unclear,any,9.6
Shoukat (2023),2023,Pakistan,mixed,research,retrospective,1940,585,1355,,,fundus,ResNet-50 CNN with grayscale preprocessing and data augmentation,"Public dataset ground-truth glaucoma labels/annotations from G1020, DRISHTI-GS, RIM-ONE, and ORIGA",internal,no,any,30.15
Shyamalee (2024),2024,Sri Lanka,Asia,research,retrospective,3598,1153,2445,,,fundus,Attention U-Net with modified ResNet50 backbone for optic disc/cup segmentation plus modified Inception V3 classifier; Grad-CAM and Grad-CAM++ explainability; GlaucoCare web application,public dataset labels/annotations by ophthalmologists or glaucoma/eye specialists,external,no,any,32.05
Sidhu (2024),2024,India,Asia,hospital,retrospective,975,440,535,57.9,52.3,fundus,Lobe (Microsoft 2021) software using a CNN/deep residual learning model based on ResNet50V2,single senior glaucoma specialist grading color fundus photographs as normal optic nerve head or glaucomatous optic neuropathy,internal,no,glaucomatous optic neuropathy,45.1
Singh (2022),2022,Spain,Europe,research,retrospective,110,25,85,53-54,53.8,fundus,"Univariate feature selection + CPSO-KNN hybrid model (customized particle swarm optimization with K-nearest neighbour), selected as the best-performing proposed system among CPSO combinations with KNN, SVM, random forest, and decision tree.",DRIONS-DB dataset labels: glaucoma vs ocular hypertension; optic-disc ground truth markers created by two doctors.,internal,no,any,23.1
Chavan (2025),2025,India,Asia,research,retrospective,2870,,,,,fundus,"GlaucoAttentNet / GlaucoAttent Net; comparator methods included UDA, Vision Transformer, Grad-CAM-based CNN, FGSA-HDNN, U-Net+TL, Ensemble+RF, AGSE Net, EfficientNet, SEDC","Public dataset ground-truth labels and expert annotations for glaucoma diagnosis and OD/OC segmentation in ORIGA, REFUGE, and G1020",internal,no,any,
Song (2025),2025,Taiwan,Asia,hospital,retrospective,1416,850,566,,,multimodal,Robust concatenated AI model combining a CNN fundus-image model with an ANN retinal-thickness model using WA_MT and WA_RNFL,"Humphrey Field Analyzer visual field mean defect (V-MD) values, with early/mild glaucoma defined as 0 to -6 dB",internal,no,other,about 40 early-stage glaucoma; about 60 all glaucoma including moderate/severe
Gheisari (2021),2021,Australia,Oceania,clinical,cross-sectional,695,379,316,Glaucoma 65.1; normal 47,44.5,fundus,"VGG16, ResNet50, VGG16+LSTM, ResNet50+LSTM",Clinical diagnosis by glaucoma specialist based on dilated stereoscopic ONH examination (structural features) with or without visual field defects on SAP (Humphrey 24-2 SITA-Standard); OCT used as adjunct,internal,no,any,54.5
Haider (2023),2023,mixed public datasets,Asia,research,retrospective,1359,,,,,fundus,"ESS-Net (efficient shallow segmentation network) and FBSS-Net (feature-blending-based shallow segmentation network); for glaucoma screening comparison, FBSS-Net was compared with ResNet-18, ResNet-50, and SLSR-Net.","ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",internal,no,any,
Szanto (2025),2025,USA,North America,mixed,cross-sectional,7014,1839,5175,54.2,35,OCT,ResNet-3D-18 deep learning models using unsegmented 3D ONH OCT volumes: Model A full OCT volume; Model B peripapillary region only; Model C optic nerve head only,clinical diagnosis from source studies/clinics,internal,unclear,any,26.2
Alasmari (2025),2025,China,Asia,research,retrospective,1200,120,1080,,,fundus,U-Net with ResNet50/VGG16/MobileNetV2 backbones and MaskFormer with Swin-Base backbone; YOLOv11 for OD detection; vCDR > 0.5 threshold for classification,REFUGE dataset binary glaucoma labels annotated by seven ophthalmologists and reviewed by one ophthalmologist,internal,no,glaucoma versus normal classification from fundus images,49.31
Sangchocanonta (2025),2025,Thailand,Asia,hospital,retrospective,9380,2591,5543,,,fundus,DeiT-S vision transformer with polar transformation and pie augmentation; comparators were ConvNeXt-S + local/polar + donut and DeiT-S + polar + donut,"Consensus of three well-trained ophthalmologists (3/3 unanimous or 2/3 majority; tie/no-majority broken by an experienced supervisor) from the Center of Excellence in Glaucoma, Chulalongkorn",both,no,any,27.62%
Medeiros (2019),2019,USA,North America,research,cross-sectional,2947,870,877,test DTA groups: healthy 56.5±15.9; glaucoma 68.1±12.8,test DTA groups: healthy 59.1; glaucoma 45.2,fundus,ImageNet-pretrained ResNet34 deep convolutional neural network predicting SD-OCT average RNFL thickness from optic disc photographs,"Glaucoma defined by repeatable SAP visual field loss plus glaucomatous optic neuropathy on slit-lamp fundus examination; healthy controls had normal optic discs, no elevated IOP history, and normal SAP",internal,yes,glaucomatous optic neuropathy,70.2%
Upadhyaya (2025b),2025,India,Asia,screening,prospective,299,22,277,45,52.2,fundus,Medios AI-Glaucoma / Medios Glaucoma AI integrated with Remidio FOP NM-10,"Tele-ophthalmologist diagnosis from fundus images/history for full-cohort contingency tables; glaucoma specialist diagnosis using clinical examination, IOP/gonioscopy, Humphrey visual field, and OCT for referred subset",external,yes,referable,7.4
Leonardo (2022),2022,Portugal,Europe,research,retrospective,3187,1102,2085,,,fundus,EfficientNetB0 with CycleGAN-based image quality augmentation (RetinaQualEnhancer/RetinaQualDegrader),"Public dataset glaucoma labels from ORIGA, Drishti-GS, REFUGE, RIM-ONE and ACRIMA",internal,no,glaucomatous optic neuropathy,34.58
Wang (2021),2021,"mixed (Spain, Germany, Spain, India)",mixed,research,retrospective,686,339,347,,,fundus,Glaucoma-Net (transferred AlexNet and VGG-16),Public dataset labels/annotations by more than one ophthalmology medical expert; specific clinical diagnostic criteria n/r,internal,no,confirmed,49.4
Wang (2023),2023,China,Asia,research,retrospective,100,50,50,40.64,,multimodal,Mstnet; ResNet101 fundus branch; Video Swin Transformer OCT branch,"Labels assigned by ophthalmologists in the GAMMA dataset as no glaucoma, early glaucoma, or moderate-to-severe glaucoma",internal,no,any,50
Lian (2024),2024,China,Asia,research,retrospective,1561,136,1425,66.94,53.87,fundus,MRMSG multi-region multi-scan-pattern fusion model (ResNet18 backbone with AMSFM + AMRFM attention modules),"Expert annotation by a senior ophthalmologist (Tongren Eye Hospital, >10 years experience) using visual field, retinal layer thickness map, and other clinical indicators",internal,unclear,any,8.71
Liu (2024),2024,China,Asia,hospital,retrospective,16000,2000,14000,,,fundus,"ResNet152, DenseNet121, MobileNetV3_small, and ShuffleNetV2_x0_5 transfer-learning CNN classifiers trained on fundus color photographs",diagnosis and labeling by two professional ophthalmologists (ISGEO definition for glaucoma),internal,no,Glaucoma defined using ISGEO criteria,50.0
Xu (2024),2024,China,Asia,hospital,retrospective,523,113,410,47.3 +/- 18.27 training; 47.87 +/- 16.73 testing,44.0 training; 43.93 testing,multimodal,"Dual-modal fusion network (Inception v3 for fundus + ANN/MLP for 30-sector RNFL); comparators: OCT Net (ANN), Image Net (Inception v3), SVM with ISNT/Clock/OD sector divisions, ResNet50, VGG16","Two senior glaucoma specialists independently diagnosed each eye as GON or non-GON using fundus images and OCT reports; eyes were classified as GON if either specialist judged GON, using criteria including VCDR ≥0.7, general rim thinning ≥60°, localized rim thinning <60° at 11–1 or 5–7 o’clock, RNFL defects, or peripapillary hemorrhages.",internal,no,glaucomatous optic neuropathy,21.61
Xiong (2025),2025,China,mixed,research,retrospective,179,47,132,,,fundus,Multi-GlaucNet,REFUGE and ACRIMA public dataset with/without glaucoma labels; diagnostic criteria not reported,internal,no,any,26.3
Xu (2021),2021,China,Asia,hospital,retrospective,1882,877,1005,,52,fundus,TIA-Net (Transfer Induced Attention Network),manual labeling by professional ophthalmologists from Beijing Tongren Eye Center,both,no,glaucoma,46.6
Kui (2025),2025,China,Asia,research,retrospective,2870,699,2171,,,fundus,"PK-Net: GloLocNet and BFNet using YOLOv5 optic-disc localization, ConvNeXt feature extraction, label-smoothed/triple loss, and Grad-CAM visualization",public dataset glaucoma labels/clinical diagnosis; optic disc/cup annotations where available,both,no,any,24.4
Luo (2021),2021,China,Asia,research,retrospective,1259,259,1000,,,fundus,EfficientNet-B3 CNN with CLAHE preprocessing; proposed FCL-EfficientNet-B3 using focal loss plus correntropy-induced loss,annotations by trained ophthalmologist (OIA-ODIR dataset labels),internal,unclear,"Glaucoma, unspecified subtype or severity",20.6
Surya (2023),2023,India,Asia,hospital,prospective,1085,,,53.43,42.3,fundus,"Dr Noon AI system / SaMD, Medi Whale Inc.; modified VGG deep learning model",Ophthalmologist/glaucoma specialist grading of fundus photographs according to International Council of Ophthalmology glaucoma guidelines,external,yes,any,
Rao (2024),2024,India,Asia,hospital,prospective,243,111,132,59,49,fundus,Medios AI-Glaucoma (ResNet-50),Final diagnosis by glaucoma specialists following comprehensive glaucoma work-up; secondary comparisons used consensus image grading by glaucoma specialists,external,yes,referable glaucoma,45.7
Guo (2021),2021,China,Asia,research,retrospective,250,75,175,,,fundus,MobileNetV2 with transfer learning from ImageNet; compared with InceptionV3 and AlexNet,labels from public Kaggle dataset verified by retinal specialists,internal,no,any glaucoma,30.0
Atalay (2022),2022,Turkey,Asia,hospital,retrospective,558 primary glaucoma-detection images; source archive 9950 images from 5388 patients,320 primary DTA images,238 primary DTA normal images,55.9 calculated from reported sex-specific means,71,fundus,custom 2D CNN; ResNet-50; ResNet-101; VGG-19,"Two glaucoma specialists labeled fundus photographs as normal, glaucoma suspect, or glaucoma using predefined optic disc/RNFL criteria; disagreements were adjudicated by a third senior ophthalmologist or majority vote",internal,no,confirmed glaucoma,57.3
Guo (2022)b,2022,China,Asia,research,retrospective,7159,2199,4960,,,fundus,MTCLF,"glaucoma diagnostic labels from public datasets; LAG diagnosed by qualified glaucoma experts considering intraocular pressure, visual field and optic disc disease",internal (same-source split),no,any,30.7
Mansour (2021),2021,Spain; India,mixed,hospital,retrospective,260,74,85,,,fundus,Perceptron based Convolutional Multi-Layer Neural Network with entropy-based CNN optic disc/cup segmentation and weighted least square holistic features,Public dataset labels/annotations: RIM-ONE annotated by two ophthalmologists; DRISHTI-GS optic cup/disc borders from four professionals,internal,no,confirmed,
Xue (2022),2022,China,Asia,hospital,retrospective,240,180,60,46.8,49.7,multimodal,"MFDL; ResNet-based DetectionNet and ClassificationNet; CFP-DL, VF-DL, DFC-DL comparators",Consensus grading by three experienced glaucoma experts per American Academy of Ophthalmology guideline,internal,no,any,75.0
Thakoor (2021)a,2021,USA,North America,hospital,retrospective,1770,610,1160,57,n/r,OCT,CNN A (ResNet18 + Random Forest); CNN B (custom 3-conv-block CNN); CNN C (ResNet50 + Random Forest),Expert OCT grader rating (Hood report / cpRNFL report / OCT+VF consensus); binary cutoff >50% = glaucomatous,external,yes,any,34.5
Guo (2022)a,2022,"China, Singapore, India, Spain",mixed,research,retrospective,9043,4211,4071,n/r,n/r,fundus,DSLN (Dual-tutor Student Learning Network) with modified ResNet50 backbone; CycleGAN inter-image tutor + EMA intra-image tutor; Faster R-CNN for optic disc localization,Image-level glaucoma labels provided in public datasets (ophthalmologist annotations),both,no,any,50.8
