Study,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct
Nakahara (2022),2022,Japan,Asia,hospital,retrospective,172,79,93,66.2,40.7,fundus,"ResNet-34 (deep residual neural network, pretrained on ImageNet)",Clinical diagnosis by three glaucoma specialists per Japan Glaucoma Society Guidelines (independent adjudication; disagreements excluded),external,yes,any,45.9
Muhammad (2017),2017,USA,North America,hospital,retrospective,102,57,45,n/r,n/r,OCT,Hybrid Deep Learning Method (HDLM): AlexNet CNN feature extraction + Random Forest classifier,"Consensus classification by 2 glaucoma specialists based on 24-2 and 10-2 VFs, fundus photos, chart information, and single-page OCT report",internal,yes,POAG,55.9
Bouris (2026),2026,"mixed (USA, Spain)",mixed,mixed,retrospective,2347,1827,655,66.8,55.7,fundus,Vision Transformer (ViT-base-patch16-224-in21k); EfficientNetV2B0 (comparator),Two glaucoma specialists' grading of optic disc photographs with third-expert adjudication of disagreements,internal,no,POAG,73.6
Sujithra (2024),2024,India,Asia,mixed,retrospective,8346,n/r,n/r,n/r,n/r,fundus,Gray Wolf Optimization with deep CNN-based ResNet50 transfer learning classifier,n/r,internal,no,any,n/r
Oh (2021),2021,South Korea,Asia,hospital,retrospective,1624,975,649,56.9,42.9,multimodal,"XGboost (also tested SVM, C5.0, Random Forest)",Diagnosis of glaucoma by three glaucoma specialists based on characteristic glaucomatous structural changes to the optic disc accompanied by glaucomatous visual field defects,internal,no,POAG,60.0
Shi (2024),2024,China,Asia,hospital,retrospective,1338,761,577,54.5,49.1,fundus,"ARIA (Automatic Retinal Image Analysis) with modified ResNet-50, Haralick texture + fractal features, Glmnet feature selection, SVM and logistic regression classifiers",Two ophthalmologists labelling colour fundus images paired with Cirrus HD-OCT optic disc and macular scans (adjudication by senior glaucoma specialist),internal,unclear,GON,56.9
Omar (2021),2021,South Korea,Asia,research,retrospective,499,297,202,n/r,n/r,multimodal,"GLAUDIA (consensus ensemble of Logistic Regression, Random Forest, SVM-linear, KNN, Decision Tree); comparator majority-voting ensemble of same five",Clinical diagnosis from source dataset (Kim et al. 2017): POAG or NTG vs normal,internal,no,other,59.6
Hemelings (2023),2023,"Belgium (training); Australia, Germany, USA, China, Spain, Singapore (testing)",mixed,mixed,retrospective,149455,n/r,n/r,n/r,n/r,fundus,G-RISK (custom ResNet-50 regression CNN outputting continuous VCDR-based risk score),"Dataset-specific: BMES (visual field loss + neuroretinal rim thinning + VCDR≥0.7 + asymmetric cupping + gonioscopy); GHS (modified ISGEO with disc-size adjustment); AIROGS (≥2 glaucoma experts using 10 structural features); REFUGE1/REFUGE2 (multimodal clinical records: IOP, OCT, VF, follow-up); GAMMA (fundus + IOP + VF + OCT); LAG (IOP, VF, manual ONH assessment); RIM-ONE/ACRIMA/PAPILA/ODIR/ORIGA (expert image-based annotation)",external,yes,any,"1.08–56.17 (varies by dataset; 1.08% GHS, 2.14% BMES, 3.11% AIROGS, 4.70% ODIR, 10% REFUGE1/2, 25.85% ORIGA, 35.25% LAG, 35.46% RIM-ONE DL, 50% GAMMA, 56.17% ACRIMA)"
Orlando (2020),2020,China,Asia,hospital,retrospective,1200,120,1080,n/r,52-55,fundus,"REFUGE Challenge: 12 deep learning teams (VRT, SDSAIRC, CUHKMED, NKSG, Mammoth, Masker, SMILEDeepDR, BUCT, WinterFell, NightOwl, Cvblab, AIML) using ResNet/U-Net/DeepLabv3+/Mask-RCNN/Xception/DenseNet/SENet/Inception architectures","Clinical diagnosis from comprehensive evaluation of follow-up medical records including fundus images, IOP measurements, OCT, and visual field testing (reproducible glaucomatous VF defects plus ONH damage: vCDR>0.7 and/or RNFL thinning)",both,yes,POAG,10
Juneja (2020),2020,India; Spain,mixed,research,retrospective,267,145,122,n/r,n/r,fundus,GC-NET (proposed); Xception; InceptionV3; ResNet50; DenseNet121; VGG16,public dataset ground-truth labels (normal/glaucoma) from DRISHTI-GS and RIM-ONE,internal,no,any,54.3
Pandey (2024),2024,mixed,mixed,research,retrospective,100,25,75,n/r,n/r,fundus,Deep Convolutional Ensemble (DCE) of five InceptionV3 CNNs,original public-dataset disease labels (institution-assigned grading/clinical diagnosis),internal,no,any,25
Islam (2025),2025,Bangladesh,Asia,hospital,retrospective,208,100,108,n/r,n/r,multimodal,ResNet-18 (fundus); custom 4-layer CNN (OCT); mid-level feature fusion network,diagnosis by senior ophthalmologists at Bangladesh Eye Hospital based on comprehensive clinical evaluation,internal,no,any,48.1
Garcia-Lopez (2026),2026,Mexico; Pakistan,mixed,hospital,retrospective,163,31,132,n/r,n/r,multimodal,CNN ensemble (CFP module: ResNet50 + DenseNet169 + InceptionV3; OCT module: MobileNetV3 + Xception + ResNet50) with Metric-Based Weighted Voting exponential (MBWVe) fusion,consensus label from 4 ophthalmologists per external dataset based on image grading,both,no,any,19.0
Yang (2020),2020,South Korea,Asia,hospital,retrospective,3815,486,3329,n/r,n/r,fundus,ResNet-50 CNN,Two expert neuro-ophthalmologists with corroborating visual field testing and OCT (Stratus or Spectralis),internal,no,GON,12.7
Jammal (2020),2020,United States,North America,hospital,cross-sectional,490,210,280,60.5,52.7,fundus,Machine-to-machine (M2M) deep learning algorithm (ResNet34),Repeatable glaucomatous visual field loss on standard automated perimetry (SAP),internal,no,GON,42.9
Phene (2019),2019,"United States, United Kingdom, India",mixed,mixed,retrospective,11193,1391,9802,57,n/r,fundus,Inception-v3 deep convolutional neural network (ensemble of 10),"Adjudication by panel of 3 fellowship-trained glaucoma specialists (dataset A); ICD-9/ICD-10 glaucoma codes and referral codes (dataset B); glaucoma specialist diagnosis based on full workup including history, clinical examination, visual field, and OCT (dataset C)",both,yes,GON,13.2
Ramzan (2019),2019,Pakistan,Asia,hospital,retrospective,50,28,22,n/r,n/r,OCT,Proposed automated CDR system (ILM/RPE segmentation + centroid-based thresholding + horizontal CDR classification),"Ophthalmologist-annotated CDR (4 expert ophthalmologists, AFIO)",internal,no,any,56
Lee (2020),2020,South Korea,Asia,hospital,retrospective,282,86,196,62.5,62.4,OCT,NASNet-A (large) ensemble deep learning classifier,Stereo disc photography and red-free RNFL photography evaluated by 3 glaucoma specialists (plus glaucomatous visual-field criteria),internal,no,GON,30.5
Zemborain (2020),2020,USA,North America,hospital,cross-sectional,100,64,36,55.5,35,OCT,n/r,"Glaucoma specialist classification using all available information (family history, repeat visits, IOP, 10-2 and 24-2 visual fields, OCT)",none,unclear,GON,64
Civit-Masot (2020),2020,Spain; India,mixed,research,retrospective,252,n/r,n/r,n/r,n/r,fundus,Dual ensemble: generalized U-Net (disc/cup segmentation + CDR) + MobileNet V2 (transfer learning direct classifier),Expert ophthalmologist labels provided with RIM-ONE v3 and DRISHTI-GS public datasets,internal,unclear,any,n/r
Rasel (2024),2024,UK; Australia,mixed,mixed,retrospective,1644,1102,1028,n/r,n/r,OCT,2D-ResNet18; 3D-ResNet18; 3D-DenseNet121; 3D-CNN-Encoder,ICD-10 H40.1 (UKB macular cohort); dataset-provided POAG labels (Maetschke ONH cohort),internal,no,POAG,41.9
