Study,Year,PDF link,PDF path,Arm / test,TP,FN,FP,TN,N positive,N negative,Sensitivity,Specificity,AUC (raw),Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Threshold,Source sheet,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,N_pos_calc,N_neg_calc,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,ai_class
An (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/An (2019).pdf,04_fulltext/An (2019).pdf,Random forest using additional quantified OCT parameters at false-negative rate zero,208,0,106,43,208,149,1.000,0.289,0.958,image,multimodal,"Unanimous diagnosis by three ophthalmologists; OAG diagnosed from glaucomatous optic neuropathy with corresponding visual field defects, abnormally reduced circumpapillary RNFL thickness, and open angle on gonioscopy; controls had normal OCT measurements and no ocular/systemic disease affecting the visual field, no elevated IOP, and no apparent glaucomatous optic disc.",Asia,internal,cross-sectional,yes,"Open-angle glaucoma (OAG), including preperimetric glaucoma cases",any,n/r,n/r,Random forest using additional quantified OCT parameters at false-negative rate zero,n/r,codex_v2,1.0000,0.9819,1.0000,0.2886,0.2219,0.3659,208,149,2015-19,medium,Asia,internal,expert_clinical,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,Proposed hybrid model (Fig. 11 confusion matrix),90,10,12,88,100,100,0.9,0.88,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,Proposed hybrid model (Fig. 11 confusion matrix),n/r,codex_v2,0.9000,0.8256,0.9448,0.8800,0.8019,0.9300,100,100,2025+,medium,mixed,internal,dataset_label,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,CNN-MLP (Fig. 13 confusion matrix),498,12,10,480,510,490,0.9765,0.9796,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,CNN-MLP (Fig. 13 confusion matrix),n/r,codex_v2,0.9765,0.9593,0.9865,0.9796,0.9628,0.9889,510,490,2025+,large,mixed,internal,dataset_label,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,CNN-GRU (Fig. 13 confusion matrix),500,10,5,485,510,490,0.9804,0.9898,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,CNN-GRU (Fig. 13 confusion matrix),n/r,codex_v2,0.9804,0.9643,0.9893,0.9898,0.9763,0.9956,510,490,2025+,large,mixed,internal,dataset_label,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,CNN-SVM (Fig. 13 confusion matrix),492,18,20,470,510,490,0.9647,0.9592,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,CNN-SVM (Fig. 13 confusion matrix),n/r,codex_v2,0.9647,0.9449,0.9776,0.9592,0.9378,0.9734,510,490,2025+,large,mixed,internal,dataset_label,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,"CNN-MLP (Table 5 reported metrics, back-calculated)",508,2,1,489,510,490,0.9962,0.9978,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,"CNN-MLP (Table 5 reported metrics, back-calculated)",n/r,codex_v2,0.9961,0.9858,0.9989,0.9980,0.9885,0.9996,510,490,2025+,large,mixed,internal,dataset_label,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,"CNN-GRU (Table 5 reported metrics, back-calculated)",508,2,2,488,510,490,0.9955,0.9966,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,"CNN-GRU (Table 5 reported metrics, back-calculated)",n/r,codex_v2,0.9961,0.9858,0.9989,0.9959,0.9852,0.9989,510,490,2025+,large,mixed,internal,dataset_label,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,"CNN-SVM (Table 5 reported metrics, back-calculated)",507,3,2,488,510,490,0.9942,0.9958,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,"CNN-SVM (Table 5 reported metrics, back-calculated)",n/r,codex_v2,0.9941,0.9828,0.9980,0.9959,0.9852,0.9989,510,490,2025+,large,mixed,internal,dataset_label,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,"RF (Table 5 reported metrics, back-calculated)",504,6,5,485,510,490,0.9885,0.9898,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,"RF (Table 5 reported metrics, back-calculated)",n/r,codex_v2,0.9882,0.9746,0.9946,0.9898,0.9763,0.9956,510,490,2025+,large,mixed,internal,dataset_label,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,"KNN (Table 5 reported metrics, back-calculated)",501,9,7,483,510,490,0.9831,0.9859,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,"KNN (Table 5 reported metrics, back-calculated)",n/r,codex_v2,0.9824,0.9668,0.9907,0.9857,0.9708,0.9931,510,490,2025+,large,mixed,internal,dataset_label,unclear,deep learning
Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/Hussein (2026).pdf,"DT (Table 5 reported metrics, back-calculated)",505,5,4,486,510,490,0.9894,0.9918,n/r,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,"DT (Table 5 reported metrics, back-calculated)",n/r,codex_v2,0.9902,0.9773,0.9958,0.9918,0.9792,0.9968,510,490,2025+,large,mixed,internal,dataset_label,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/Sun (2021).pdf,"DICNN (RNFL+GCIPL), normal vs POAG",83,10,3,60,93,63,0.896,0.952,0.957,image,OCT,"Labels by two glaucoma specialists, with discordant cases excluded; glaucomatous eyes were subclassified using Nicolela optic disc morphology classification",Asia,internal,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"DICNN (RNFL+GCIPL), normal vs POAG",n/r,codex_v2,0.8925,0.8133,0.9405,0.9524,0.8691,0.9837,93,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/Sun (2021).pdf,"VGG16 (RNFL), normal vs POAG",87,6,3,60,93,63,0.938,0.952,0.978,image,OCT,"Labels by two glaucoma specialists, with discordant cases excluded; glaucomatous eyes were subclassified using Nicolela optic disc morphology classification",Asia,internal,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"VGG16 (RNFL), normal vs POAG",n/r,codex_v2,0.9355,0.8663,0.9701,0.9524,0.8691,0.9837,93,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/Sun (2021).pdf,"VGG16 (GCIPL), normal vs POAG",77,16,5,58,93,63,0.833,0.921,0.921,image,OCT,"Labels by two glaucoma specialists, with discordant cases excluded; glaucomatous eyes were subclassified using Nicolela optic disc morphology classification",Asia,internal,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"VGG16 (GCIPL), normal vs POAG",n/r,codex_v2,0.8280,0.7387,0.8912,0.9206,0.8273,0.9656,93,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/Sun (2021).pdf,"Ensemble model, normal vs POAG",81,12,2,61,93,63,0.875,0.968,0.966,image,OCT,"Labels by two glaucoma specialists, with discordant cases excluded; glaucomatous eyes were subclassified using Nicolela optic disc morphology classification",Asia,internal,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"Ensemble model, normal vs POAG",n/r,codex_v2,0.8710,0.7879,0.9246,0.9683,0.8914,0.9913,93,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/Sun (2021).pdf,"DICNN (RNFL+GCIPL), normal vs early POAG",41,4,15,48,45,63,0.921,0.756,0.869,image,OCT,"Labels by two glaucoma specialists, with discordant cases excluded; glaucomatous eyes were subclassified using Nicolela optic disc morphology classification",Asia,internal,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"DICNN (RNFL+GCIPL), normal vs early POAG",n/r,codex_v2,0.9111,0.7927,0.9649,0.7619,0.6436,0.8501,45,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/Sun (2021).pdf,"VGG16 (RNFL), normal vs early POAG",41,4,22,41,45,63,0.905,0.644,0.85,image,OCT,"Labels by two glaucoma specialists, with discordant cases excluded; glaucomatous eyes were subclassified using Nicolela optic disc morphology classification",Asia,internal,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"VGG16 (RNFL), normal vs early POAG",n/r,codex_v2,0.9111,0.7927,0.9649,0.6508,0.5275,0.7567,45,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/Sun (2021).pdf,"VGG16 (GCIPL), normal vs early POAG",38,7,27,36,45,63,0.839,0.578,0.767,image,OCT,"Labels by two glaucoma specialists, with discordant cases excluded; glaucomatous eyes were subclassified using Nicolela optic disc morphology classification",Asia,internal,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"VGG16 (GCIPL), normal vs early POAG",n/r,codex_v2,0.8444,0.7122,0.9225,0.5714,0.4486,0.6860,45,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Sun (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Sun (2021).pdf,04_fulltext/Sun (2021).pdf,"Ensemble model, normal vs early POAG",41,4,35,28,45,63,0.921,0.444,0.84,image,OCT,"Labels by two glaucoma specialists, with discordant cases excluded; glaucomatous eyes were subclassified using Nicolela optic disc morphology classification",Asia,internal,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"Ensemble model, normal vs early POAG",n/r,codex_v2,0.9111,0.7927,0.9649,0.4444,0.3285,0.5668,45,63,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Mrad (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Mrad (2022).pdf,04_fulltext/Mrad (2022).pdf,SVM proposed method - DRISHTI-DB,70,0,1,30,70,31,1.00,0.9677,n/r,image,fundus,"Public dataset labels for DRISHTI-DB/DRISHTI-GS and DRIONS-DB; ophthalmologist-generated ground truth for RIAMP, with suspect cases excluded",Africa,internal,retrospective,no,any,any,n/r,n/r,SVM proposed method - DRISHTI-DB,n/r,codex_v2,1.0000,0.9480,1.0000,0.9677,0.8381,0.9943,70,31,2020-24,small,non-Asia,internal,expert_clinical,unclear,classical ML
Mrad (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Mrad (2022).pdf,04_fulltext/Mrad (2022).pdf,SVM proposed method - DRIONS-DB,19,1,1,39,20,40,0.95,0.975,n/r,image,fundus,"Public dataset labels for DRISHTI-DB/DRISHTI-GS and DRIONS-DB; ophthalmologist-generated ground truth for RIAMP, with suspect cases excluded",Africa,internal,retrospective,no,any,any,n/r,n/r,SVM proposed method - DRIONS-DB,n/r,codex_v2,0.9500,0.7639,0.9911,0.9750,0.8712,0.9956,20,40,2020-24,small,non-Asia,internal,expert_clinical,unclear,classical ML
Mrad (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Mrad (2022).pdf,04_fulltext/Mrad (2022).pdf,SVM proposed method - RIAMP standard fundus images,2,0,0,9,2,9,1.00,1.00,n/r,image,fundus,"Public dataset labels for DRISHTI-DB/DRISHTI-GS and DRIONS-DB; ophthalmologist-generated ground truth for RIAMP, with suspect cases excluded",Africa,internal,retrospective,no,any,any,n/r,n/r,SVM proposed method - RIAMP standard fundus images,n/r,codex_v2,1.0000,0.3424,1.0000,1.0000,0.7009,1.0000,2,9,2020-24,small,non-Asia,internal,expert_clinical,unclear,classical ML
Mrad (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Mrad (2022).pdf,04_fulltext/Mrad (2022).pdf,SVM proposed method - RIAMP smartphone fundus images,4,0,0,9,4,9,1.00,1.00,n/r,image,fundus,"Public dataset labels for DRISHTI-DB/DRISHTI-GS and DRIONS-DB; ophthalmologist-generated ground truth for RIAMP, with suspect cases excluded",Africa,internal,retrospective,no,any,any,n/r,n/r,SVM proposed method - RIAMP smartphone fundus images,n/r,codex_v2,1.0000,0.5101,1.0000,1.0000,0.7009,1.0000,4,9,2020-24,small,non-Asia,internal,expert_clinical,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop5 Logistic Regression,42,2,29,121,44,150,0.951,0.809,0.887,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop5 Logistic Regression,n/r,codex_v2,0.9545,0.8487,0.9874,0.8067,0.7361,0.8619,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop5 XGBoost,42,2,23,127,44,150,0.96,0.848,0.908,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop5 XGBoost,n/r,codex_v2,0.9545,0.8487,0.9874,0.8467,0.7804,0.8956,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop5 Random Forest,44,0,17,133,44,150,0.99,0.889,0.957,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop5 Random Forest,n/r,codex_v2,1.0000,0.9197,1.0000,0.8867,0.8260,0.9280,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop5 CatBoost,43,1,19,131,44,150,0.982,0.871,0.945,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop5 CatBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8733,0.8106,0.9174,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop5 SVM,43,1,30,120,44,150,0.977,0.8,0.921,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop5 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.8000,0.7289,0.8562,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop5 Ensemble,43,1,21,129,44,150,0.976,0.859,0.931,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop5 Ensemble,n/r,codex_v2,0.9773,0.8819,0.9960,0.8600,0.7954,0.9066,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop10 Logistic Regression,42,2,30,120,44,150,0.944,0.801,0.867,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop10 Logistic Regression,n/r,codex_v2,0.9545,0.8487,0.9874,0.8000,0.7289,0.8562,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop10 XGBoost,41,3,17,133,44,150,0.941,0.887,0.881,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop10 XGBoost,n/r,codex_v2,0.9318,0.8177,0.9765,0.8867,0.8260,0.9280,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop10 Random Forest,43,1,15,135,44,150,0.969,0.902,0.926,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop10 Random Forest,n/r,codex_v2,0.9773,0.8819,0.9960,0.9000,0.8416,0.9385,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop10 CatBoost,44,0,17,133,44,150,0.989,0.888,0.957,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop10 CatBoost,n/r,codex_v2,1.0000,0.9197,1.0000,0.8867,0.8260,0.9280,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop10 SVM,43,1,29,121,44,150,0.975,0.809,0.921,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop10 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.8067,0.7361,0.8619,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop10 Ensemble,43,1,19,131,44,150,0.984,0.871,0.945,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop10 Ensemble,n/r,codex_v2,0.9773,0.8819,0.9960,0.8733,0.8106,0.9174,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop15 Logistic Regression,43,1,29,121,44,150,0.968,0.808,0.898,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop15 Logistic Regression,n/r,codex_v2,0.9773,0.8819,0.9960,0.8067,0.7361,0.8619,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop15 XGBoost,42,2,20,130,44,150,0.962,0.864,0.911,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop15 XGBoost,n/r,codex_v2,0.9545,0.8487,0.9874,0.8667,0.8030,0.9120,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop15 Random Forest,43,1,18,132,44,150,0.984,0.879,0.945,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop15 Random Forest,n/r,codex_v2,0.9773,0.8819,0.9960,0.8800,0.8183,0.9227,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop15 CatBoost,43,1,22,128,44,150,0.974,0.853,0.931,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop15 CatBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop15 SVM,43,1,29,121,44,150,0.984,0.807,0.932,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop15 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.8067,0.7361,0.8619,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop15 Ensemble,44,0,24,126,44,150,0.995,0.84,0.95,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop15 Ensemble,n/r,codex_v2,1.0000,0.9197,1.0000,0.8400,0.7730,0.8901,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop20 Logistic Regression,43,1,28,122,44,150,0.979,0.812,0.924,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop20 Logistic Regression,n/r,codex_v2,0.9773,0.8819,0.9960,0.8133,0.7434,0.8676,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop20 XGBoost,43,1,21,129,44,150,0.971,0.859,0.931,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop20 XGBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8600,0.7954,0.9066,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop20 Random Forest,43,1,22,128,44,150,0.982,0.852,0.9425,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop20 Random Forest,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop20 CatBoost,44,0,18,132,44,150,0.991,0.881,0.957,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop20 CatBoost,n/r,codex_v2,1.0000,0.9197,1.0000,0.8800,0.8183,0.9227,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop20 SVM,43,1,26,124,44,150,0.982,0.824,0.935,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop20 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.8267,0.7581,0.8789,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,GWO pop20 Ensemble,44,0,23,127,44,150,0.992,0.847,0.961,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop20 Ensemble,n/r,codex_v2,1.0000,0.9197,1.0000,0.8467,0.7804,0.8956,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop5 Logistic Regression,42,2,31,119,44,150,0.958,0.791,0.898,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop5 Logistic Regression,n/r,codex_v2,0.9545,0.8487,0.9874,0.7933,0.7216,0.8504,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop5 XGBoost,42,2,21,129,44,150,0.953,0.86,0.9,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop5 XGBoost,n/r,codex_v2,0.9545,0.8487,0.9874,0.8600,0.7954,0.9066,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop5 Random Forest,43,1,21,129,44,150,0.986,0.857,0.953,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop5 Random Forest,n/r,codex_v2,0.9773,0.8819,0.9960,0.8600,0.7954,0.9066,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
