Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
Lin (2022)b,2022,ResNet-50,ResNet-50 CNN single-image model,n/r,n/r,internal,reading center grades,n/r,image,fundus,ONH
Lin (2022)b,2022,POAGNet absolute distance,Siamese DenseNet-201 using absolute distance between paired baseline and follow-up optic disc images,n/r,n/r,internal,reading center grades,n/r,image pair,fundus,ONH
Lin (2022)b,2022,POAGNet w/o side output,Siamese DenseNet-201 using convolutional comparison without side-output layers,n/r,n/r,internal,reading center grades,n/r,image pair,fundus,ONH
Lin (2022)b,2022,POAGNet,"Siamese DenseNet-201 with shared weights, convolutional comparison, and side outputs",n/r,n/r,internal,reading center grades,n/r,image pair,fundus,ONH
Eswari (2024),2024,FRCNN - G1020,TernausNet OD/OC segmentation plus faster region-based convolutional neural network classifier,n/r,n/r,internal,public dataset labels; diagnostic reference standard n/r,n/r,image,fundus,ONH/optic disc and cup
Eswari (2024),2024,FRCNN - HRF,TernausNet OD/OC segmentation plus faster region-based convolutional neural network classifier,n/r,n/r,external,public dataset labels; diagnostic reference standard n/r,n/r,image,fundus,ONH/optic disc and cup
Eswari (2024),2024,FRCNN - DRIVE,TernausNet OD/OC segmentation plus faster region-based convolutional neural network classifier,n/r,n/r,external,public dataset labels; diagnostic reference standard n/r,n/r,image,fundus,ONH/optic disc and cup
Eswari (2024),2024,AFRCNN - G1020,FRCNN optimized with adaptive gradient algorithm,n/r,n/r,internal,public dataset labels; diagnostic reference standard n/r,n/r,image,fundus,ONH/optic disc and cup
Eswari (2024),2024,AFRCNN - HRF,FRCNN optimized with adaptive gradient algorithm,n/r,n/r,external,public dataset labels; diagnostic reference standard n/r,n/r,image,fundus,ONH/optic disc and cup
Eswari (2024),2024,AFRCNN - DRIVE,FRCNN optimized with adaptive gradient algorithm,n/r,n/r,external,public dataset labels; diagnostic reference standard n/r,n/r,image,fundus,ONH/optic disc and cup
Eswari (2024),2024,AAASVM - G1020,FRCNN with Softmax replaced by RBF-kernel SVM and SVM parameters optimized using artificial algae algorithm,n/r,n/r,internal,public dataset labels; diagnostic reference standard n/r,n/r,image,fundus,ONH/optic disc and cup
Eswari (2024),2024,AAASVM - HRF,FRCNN with Softmax replaced by RBF-kernel SVM and SVM parameters optimized using artificial algae algorithm,n/r,n/r,external,public dataset labels; diagnostic reference standard n/r,n/r,image,fundus,ONH/optic disc and cup
Eswari (2024),2024,AAASVM - DRIVE,FRCNN with Softmax replaced by RBF-kernel SVM and SVM parameters optimized using artificial algae algorithm,n/r,n/r,external,public dataset labels; diagnostic reference standard n/r,n/r,image,fundus,ONH/optic disc and cup
Camacho-Garcia-Forment (2025),2025,Resident diagnosis,n/r,n/r,1,external,mean CDR from three ophthalmologists' optic disc/cup annotations; glaucoma suspect if CDR >=0.6 or inter-eye CDR difference >0.2,n/r,patient,fundus,ONH
Camacho-Garcia-Forment (2025),2025,AI,U-Net optic disc/cup segmentation with CDR-based classifier,0,n/r,external,mean CDR from three ophthalmologists' optic disc/cup annotations; glaucoma suspect if CDR >=0.6 or inter-eye CDR difference >0.2,estimated CDR >=0.55,patient,fundus,ONH
Camacho-Garcia-Forment (2025),2025,Resident or AI,U-Net optic disc/cup segmentation with CDR-based classifier plus first-year resident diagnosis,n/r,1,external,mean CDR from three ophthalmologists' optic disc/cup annotations; glaucoma suspect if CDR >=0.6 or inter-eye CDR difference >0.2,positive if resident diagnosis positive or AI estimated CDR >=0.55,patient,fundus,ONH
Fu (2018),2018,SCES dataset,"Disc-aware Ensemble Network with four streams: global fundus image ResNet-50, segmentation-guided U-Net, local optic disc ResNet-50, and polar-transformed optic disc ResNet-50; average ensemble",n/r,n/r,external,glaucoma ground truth label,threshold with highest balanced accuracy,image,fundus,ONH
Fu (2018),2018,SINDI dataset,"Disc-aware Ensemble Network with four streams: global fundus image ResNet-50, segmentation-guided U-Net, local optic disc ResNet-50, and polar-transformed optic disc ResNet-50; average ensemble",n/r,n/r,external,glaucoma ground truth label,threshold with highest balanced accuracy,image,fundus,ONH
Thakoor (2021)a,2021,"CNN A RNFL map, internal DS_RNFL-Map, RS1",ResNet18 pretrained + Random Forest,1,n/r,internal,RS1_RNFL-Map: single OCT expert reviewing full Hood/3D Wide Glaucoma Report with visual field points,glaucomatous >50%; nonglaucomatous <50%,eye,OCT,RNFL
Thakoor (2021)a,2021,"CNN A RNFL map, external GS_RNFL-Map, RS1",ResNet18 pretrained + Random Forest,1,n/r,external,RS1_RNFL-Map: single OCT expert reviewing full Hood/Topcon report,glaucomatous >50%; nonglaucomatous <50%,eye,OCT,RNFL
Thakoor (2021)a,2021,"CNN A RNFL map, external GS_RNFL-Map, RS4",ResNet18 pretrained + Random Forest,n/r,n/r,external,RS4_RNFL-Map: consensus of multiple experts using OCT and visual field information,glaucomatous >50%; nonglaucomatous <50%,eye,OCT,RNFL
Thakoor (2021)a,2021,"CNN B b-scan, internal DS_B-Scan, RS1",custom CNN with three convolutional blocks and two dense layers,1,n/r,internal,RS1_B-Scan: single OCT expert reviewing cpRNFL reports only,glaucomatous >50%; nonglaucomatous <50%,eye,OCT,circumpapillary RNFL/ONH
Thakoor (2021)a,2021,"CNN B b-scan, external GS_B-Scan, RS1",custom CNN with three convolutional blocks and two dense layers,1,n/r,external,RS1_B-Scan: single OCT expert reviewing cpRNFL reports only,glaucomatous >50%; nonglaucomatous <50%,eye,OCT,circumpapillary RNFL/ONH
Thakoor (2021)a,2021,"CNN B b-scan, external GS_B-Scan, RS4",custom CNN with three convolutional blocks and two dense layers,n/r,n/r,external,RS4_B-Scan: consensus of multiple experts using OCT and visual field information,glaucomatous >50%; nonglaucomatous <50%,eye,OCT,circumpapillary RNFL/ONH
Thakoor (2021)a,2021,"CNN C b-scan, internal DS_B-Scan, RS1",ResNet50 pretrained on natural images + Random Forest,1,n/r,internal,RS1_B-Scan: single OCT expert reviewing cpRNFL reports only,glaucomatous >50%; nonglaucomatous <50%,eye,OCT,circumpapillary RNFL/ONH
Thakoor (2021)a,2021,"CNN C b-scan, external GS_B-Scan, RS1",ResNet50 pretrained on natural images + Random Forest,1,n/r,external,RS1_B-Scan: single OCT expert reviewing cpRNFL reports only,glaucomatous >50%; nonglaucomatous <50%,eye,OCT,circumpapillary RNFL/ONH
Thakoor (2021)a,2021,"CNN C b-scan, external GS_B-Scan, RS4",ResNet50 pretrained on natural images + Random Forest,n/r,n/r,external,RS4_B-Scan: consensus of multiple experts using OCT and visual field information,glaucomatous >50%; nonglaucomatous <50%,eye,OCT,circumpapillary RNFL/ONH
Gaddipati (2021),2021,Fefu model (proposed),VGG-19 based dual-branch feature fusion network using fundus-to-OCT mapped features and fundus-specific features; CGAN mapping; OCT capsule network feature space,n/r,n/r,internal,eye/image level diagnosis; REFUGE labeled as challenge data,Youden index optimum threshold,image,fundus,ONH
Gaddipati (2021),2021,Only Ff,VGG-19 based fundus-specific feature extraction network,n/r,n/r,internal,eye/image level diagnosis; REFUGE labeled as challenge data,Youden index optimum threshold,image,fundus,ONH
Gaddipati (2021),2021,Only Ff-o,VGG-19 based fundus-to-OCT mapped feature extraction network trained with CGAN soft labels,n/r,n/r,internal,eye/image level diagnosis; REFUGE labeled as challenge data,Youden index optimum threshold,image,fundus,ONH
Gaddipati (2021),2021,Fefu model on unseen Private-2 and sjchoi86-HRF datasets,VGG-19 based dual-branch feature fusion network using fundus-to-OCT mapped features and fundus-specific features,n/r,n/r,external,dataset labels,Youden index optimum threshold,image,fundus,mixed
Govindharaj (2025),2025,Grey Wolf Optimized U-Net++ with CapsNet,GWO-optimized U-Net++ segmentation with Capsule Network classifier,n/r,n/r,internal,ORIGA dataset labels/ground-truth annotations; clinical reference standard n/r,n/r,image,fundus,ONH
Garcia (2021),2021,Proposed method (RAGNet + LSTM + SWM),"CNN feature extractor based on fine-tuned VGG16 with residual and attention modules, followed by LSTM spatial-dependency modelling, sequential-weighting module, and MLP/softmax classifier",0,n/r,internal,Expert ophthalmologist diagnosis/volume-level annotation using European glaucoma diagnostic guidelines and glaucomatous visual field defect criteria.,n/r,eye,OCT,ONH
Sangeethaa (2023),2023,Hybrid PolyNet glaucoma severity classification,hybrid PolyNet,n/r,n/r,both,ophthalmologist-labelled glaucoma severity/classes,CDR > 0.5,image,fundus,ONH
Sharma (2025),2025,AI-GS network,"Hybrid multi-model network using MTL_LWBNA-unet, cupping parameter-based FFCN, DH classifier, RNFLD classifier and final FCN decision model",n/r,n/r,external,"ophthalmologist/expert glaucoma labels using fundus imaging with OCT, visual field and IOP where available",Youden-index optimal; reported robust threshold range 0.1-0.65,image,fundus,macula-centered fundus including ONH
Sharma (2025),2025,AI-GS adjusted,AI-GS network with rule-based adjustment for structural model probabilities,n/r,n/r,external,"ophthalmologist/expert glaucoma labels using fundus imaging with OCT, visual field and IOP where available",cupping probability >0.65 or RNFLD probability >0.8 or DH probability >0.75,image,fundus,macula-centered fundus including ONH
Sharma (2025),2025,MTL_LWBNA-unet direct glaucoma classifier,Multi-task lightweight bottleneck narrowing with attention U-net for segmentation and binary glaucoma classification,n/r,n/r,external,"ophthalmologist/expert glaucoma labels using fundus imaging with OCT, visual field and IOP where available",0.5 for cross-validation; optimum validation threshold 0.5245; dataset-specific Youden-index thresholds also used,image,fundus,macula-centered fundus including ONH
Sharma (2025),2025,Cupping parameter-based FFCN,Feedforward fully connected network using segmented cup/disc/fovea parameters,n/r,n/r,external,"ophthalmologist/expert glaucoma labels using fundus imaging with OCT, visual field and IOP where available",0.4638,image,fundus,ONH
Sharma (2025),2025,DH mask-assisted classification,LWBNA-unet-based disc hemorrhage classifier using original ROI image plus DH segmentation mask,n/r,n/r,internal,manual DH mask/labels from annotated fundus ROI images,0.4004,image,fundus,ONH
Sharma (2025),2025,RNFLD classification,LWBNA-unet-based retinal nerve fiber layer defect binary classifier,n/r,n/r,internal,fundus image labels for RNFLD presence or absence,n/r,image,fundus,RNFL
Guo (2022)a,2022,DSLN yellow race to Caucasian,"Dual-tutor student learning network with CycleGAN inter-image tutor, EMA intra-image tutor, student model, modified ResNet50 two-stream backbone, and Faster R-CNN optic disc localization",n/r,n/r,external,dataset glaucoma labels/manual annotations by ophthalmologists or glaucoma experts,n/r,image,fundus,optic disc/ONH and whole fundus
Guo (2022)a,2022,DSLN Caucasian to mixed race,"Dual-tutor student learning network with CycleGAN inter-image tutor, EMA intra-image tutor, student model, modified ResNet50 two-stream backbone, and Faster R-CNN optic disc localization",n/r,n/r,external,dataset glaucoma labels/manual annotations by ophthalmologists or glaucoma experts,n/r,image,fundus,optic disc/ONH and whole fundus
Guo (2022)a,2022,DSLN mixed race to yellow race,"Dual-tutor student learning network with CycleGAN inter-image tutor, EMA intra-image tutor, student model, modified ResNet50 two-stream backbone, and Faster R-CNN optic disc localization",n/r,n/r,external,dataset glaucoma labels/manual annotations by ophthalmologists or glaucoma experts,n/r,image,fundus,optic disc/ONH and whole fundus
Juneja (2022),2022,KNN (Full features),k-nearest neighbor,n/r,n/r,internal,n/r,n/r,eye,OCT,n/r
Juneja (2022),2022,KNN (Reduced features),k-nearest neighbor,n/r,n/r,internal,n/r,n/r,eye,OCT,n/r
Juneja (2022),2022,SVM (Full features),support vector machine,n/r,n/r,internal,n/r,n/r,eye,OCT,n/r
Juneja (2022),2022,SVM (Reduced features),support vector machine,n/r,n/r,internal,n/r,n/r,eye,OCT,n/r
Juneja (2022),2022,RF (Full features),random forest,n/r,n/r,internal,n/r,n/r,eye,OCT,n/r
Juneja (2022),2022,RF (Reduced features),random forest,n/r,n/r,internal,n/r,n/r,eye,OCT,n/r
Juneja (2022),2022,3D CNN,3D convolutional neural network,n/r,n/r,internal,n/r,n/r,eye,OCT,n/r
Juneja (2022),2022,Fused Network,"major voting and weighted decision fusion of k-NN, random forest, SVM, and 3D-CNN",n/r,n/r,internal,n/r,0.57,eye,OCT,n/r
Hassan (2019),2019,Dataset-C VGG-16-B,VGG-16,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,fundus center-crop
Hassan (2019),2019,Dataset-C VGG-16-M,VGG-16,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,fundus center-crop
Hassan (2019),2019,Dataset-C ResNet-152-B,ResNet-152,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,fundus center-crop
Hassan (2019),2019,Dataset-C ResNet-152-M,ResNet-152,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,fundus center-crop
Hassan (2019),2019,Dataset-C Inception-v4-B,Inception-v4,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,fundus center-crop
Hassan (2019),2019,Dataset-C Inception-v4-M,Inception-v4,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,fundus center-crop
Hassan (2019),2019,Dataset-OD VGG-16-B,VGG-16,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,ONH
Hassan (2019),2019,Dataset-OD VGG-16-M,VGG-16,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,ONH
Hassan (2019),2019,Dataset-OD ResNet-152-B,ResNet-152,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,ONH
Hassan (2019),2019,Dataset-OD ResNet-152-M,ResNet-152,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,ONH
Hassan (2019),2019,Dataset-OD Inception-v4-B,Inception-v4,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,ONH
Hassan (2019),2019,Dataset-OD Inception-v4-M,Inception-v4,n/r,n/r,internal,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,n/r,image,fundus,ONH
Hassan (2019),2019,RIM-ONE r3 ResNet-152-M,ResNet-152,n/r,n/r,external,RIM-ONE r3 dataset labels,n/r,image,fundus,fundus center-crop
Bajwa (2019),2019,Deep CNN glaucoma classifier on Faster R-CNN-localized optic disc,Faster R-CNN for optic disc localization plus deep convolutional neural network with 4 convolutional layers and 3 fully connected layers,n/r,n/r,internal,ORIGA dataset glaucoma labels and optic disc/cup annotations,softmax class probability; explicit cutoff n/r,image,fundus,ONH
Pascal (2022),2022,MTL-IO,U-Net multi-task deep learning model with independent optimizers,n/r,n/r,internal,human expert binary glaucoma labels in REFUGE challenge dataset,0.5,image,fundus,ONH
Pascal (2022),2022,STL,single-task U-Net-based deep learning model,n/r,n/r,internal,human expert binary glaucoma labels in REFUGE challenge dataset,0.5,image,fundus,ONH
Hemelings (2020),2020,"Uncertainty sampling active learning, image-level",ResNet-50 CNN pretrained on ImageNet with transfer learning and uncertainty sampling active learning,n/r,n/r,internal,clinical glaucoma diagnosis from full ophthalmologic examination by glaucoma experts,0.5,image,fundus,ONH
Hemelings (2020),2020,"Uncertainty sampling active learning, patient-level",ResNet-50 CNN pretrained on ImageNet with transfer learning and uncertainty sampling active learning,n/r,n/r,internal,clinical glaucoma diagnosis from full ophthalmologic examination by glaucoma experts,0.5 after averaging image prediction probabilities per patient,patient,fundus,ONH
Hemelings (2020),2020,"Random sampling active learning, image-level",ResNet-50 CNN pretrained on ImageNet with transfer learning and random sampling active learning,n/r,n/r,internal,clinical glaucoma diagnosis from full ophthalmologic examination by glaucoma experts,0.5,image,fundus,ONH
Hemelings (2020),2020,"Random sampling active learning, patient-level",ResNet-50 CNN pretrained on ImageNet with transfer learning and random sampling active learning,n/r,n/r,internal,clinical glaucoma diagnosis from full ophthalmologic examination by glaucoma experts,0.5 after averaging image prediction probabilities per patient,patient,fundus,ONH
Hemelings (2020),2020,"Baseline complete training set, image-level",ResNet-50 CNN pretrained on ImageNet with transfer learning,n/r,n/r,internal,clinical glaucoma diagnosis from full ophthalmologic examination by glaucoma experts,0.5,image,fundus,ONH
Hemelings (2020),2020,"Baseline complete training set, patient-level",ResNet-50 CNN pretrained on ImageNet with transfer learning,n/r,n/r,internal,clinical glaucoma diagnosis from full ophthalmologic examination by glaucoma experts,0.5 after averaging image prediction probabilities per patient,patient,fundus,ONH
Haider (2022),2022,SLS-Net,encoder-decoder convolutional neural network with separable convolutional link unit,n/r,n/r,internal,expert-annotated optic disc/optic cup ground truth segmentation masks,n/r,image,fundus,ONH; optic disc and optic cup
Haider (2022),2022,SLSR-Net,SLS-Net-based encoder-decoder convolutional neural network with separable convolutional link unit and external residual skip connections,n/r,n/r,internal,expert-annotated optic disc/optic cup ground truth segmentation masks,n/r,image,fundus,ONH; optic disc and optic cup
Hung (2022),2022,"Binary classification without additional information, image-based",EfficientNet-b0 convolutional neural network pretrained on ImageNet,n/r,n/r,internal,Anderson visual field criteria plus documented glaucomatous optic neuropathy/RNFL defects on fundus images or OCT,n/r,image,fundus,optic nerve head and papillo-macular area
Hung (2022),2022,"Binary classification without additional information, eye-based",EfficientNet-b0 convolutional neural network pretrained on ImageNet,n/r,n/r,internal,Anderson visual field criteria plus documented glaucomatous optic neuropathy/RNFL defects on fundus images or OCT,any image predicted positive classified the eye as glaucoma,eye,fundus,optic nerve head and papillo-macular area
Hung (2022),2022,"Ternary classification without additional information, image-based",EfficientNet-b0 convolutional neural network pretrained on ImageNet,n/r,n/r,internal,Anderson visual field criteria plus documented glaucomatous optic neuropathy/RNFL defects on fundus images or OCT; IOP used to classify HTG vs NTG,n/r,image,fundus,optic nerve head and papillo-macular area
Hung (2022),2022,"Ternary classification without additional information, eye-based",EfficientNet-b0 convolutional neural network pretrained on ImageNet,n/r,n/r,internal,Anderson visual field criteria plus documented glaucomatous optic neuropathy/RNFL defects on fundus images or OCT; IOP used to classify HTG vs NTG,average predicted probabilities of each image for final eye diagnosis,eye,fundus,optic nerve head and papillo-macular area
Hung (2022),2022,"Binary classification with age and gender information, image-based",EfficientNet-b0 convolutional neural network pretrained on ImageNet with demographic features in fully connected layers,n/r,n/r,internal,Anderson visual field criteria plus documented glaucomatous optic neuropathy/RNFL defects on fundus images or OCT,n/r,image,fundus,optic nerve head and papillo-macular area
Hung (2022),2022,"Binary classification with age and gender information, eye-based",EfficientNet-b0 convolutional neural network pretrained on ImageNet with demographic features in fully connected layers,n/r,n/r,internal,Anderson visual field criteria plus documented glaucomatous optic neuropathy/RNFL defects on fundus images or OCT,any image predicted positive classified the eye as glaucoma,eye,fundus,optic nerve head and papillo-macular area
Hung (2022),2022,"Ternary classification with age and gender information, image-based",EfficientNet-b0 convolutional neural network pretrained on ImageNet with demographic features in fully connected layers,n/r,n/r,internal,Anderson visual field criteria plus documented glaucomatous optic neuropathy/RNFL defects on fundus images or OCT; IOP used to classify HTG vs NTG,n/r,image,fundus,optic nerve head and papillo-macular area
Hung (2022),2022,"Ternary classification with age and gender information, eye-based",EfficientNet-b0 convolutional neural network pretrained on ImageNet with demographic features in fully connected layers,n/r,n/r,internal,Anderson visual field criteria plus documented glaucomatous optic neuropathy/RNFL defects on fundus images or OCT; IOP used to classify HTG vs NTG,average predicted probabilities of each image for final eye diagnosis,eye,fundus,optic nerve head and papillo-macular area
Hwang (2023),2023,ViT,Vision Transformer,n/r,n/r,internal,dataset-provided ground truth labels indicating GON or control,n/r,image,fundus,ONH
Hwang (2023),2023,CNN,ResNet-50 convolutional neural network,n/r,n/r,internal,dataset-provided ground truth labels indicating GON or control,n/r,image,fundus,ONH
Akter (2022),2022,optimized clinical features DL,4-layer deep learning neural network,n/r,n/r,both,clinical glaucoma diagnosis/staging according to Mills et al. criteria using standard ophthalmic tests,n/r,patient,multimodal,RNFL/CDR/visual field/IOP clinical features
Akter (2022),2022,segmented OCT images proposed DL,24-layer CNN,n/r,n/r,internal,clinical glaucoma diagnosis/staging according to Mills et al. criteria using standard ophthalmic tests,n/r,image,OCT,ONH
Akter (2022),2022,segmented OCT images ResNet18,ResNet18,n/r,n/r,internal,clinical glaucoma diagnosis/staging according to Mills et al. criteria using standard ophthalmic tests,n/r,image,OCT,ONH
Akter (2022),2022,segmented OCT images VGG16,VGG16,n/r,n/r,internal,clinical glaucoma diagnosis/staging according to Mills et al. criteria using standard ophthalmic tests,n/r,image,OCT,ONH
Jan (2025),2025,Person-level AI grading,Inception-v3 deep learning model,2,n/r,external,"manual grading of fundus photographs by two AHPRA-registered optometrists, with disagreements adjudicated by a licensed ophthalmologist",medium or high risk classified as referable glaucoma; ungradable classified as referable,patient,fundus,ONH
Jan (2025),2025,Image-level AI grading,Inception-v3 deep learning model,2,n/r,external,"manual grading of fundus photographs by two AHPRA-registered optometrists, with disagreements adjudicated by a licensed ophthalmologist",medium or high risk classified as referable glaucoma; ungradable classified as referable,image,fundus,ONH
Jan (2024),2024,AI system,Inception-v3 convolutional neural network,n/r,n/r,external,Consensus glaucoma specialist grading,Referable GON = suspect or certain GON; non-referable = unlikely GON,image,fundus,ONH and macula
Jan (2024),2024,Optometrists,n/r,11,mean 14; median 12; range 3-42,external,Consensus glaucoma specialist grading,Referable GON = suspect or certain GON; non-referable = unlikely GON,image,fundus,ONH and macula
Al-Aswad (2019),2019,Pegasus optic disc abnormality detection,ResNet-50 CNN,6,n/r,external,SiMES original clinical diagnosis,0.01 confidence cutoff,image,fundus,ONH
Hernandez (2026),2026,ViT-B/16,Vision Transformer,n/r,n/r,internal,ophthalmology specialist diagnosis using standard clinical criteria,n/r,image,fundus,ONH
Hernandez (2026),2026,SPiT,Superpixel-based patch-in transformer,n/r,n/r,internal,ophthalmology specialist diagnosis using standard clinical criteria,n/r,image,fundus,ONH
Hernandez (2026),2026,SpxViT_fix,Superpixel-based Vision Transformer with fixed SLIC compactness parameter,n/r,n/r,internal,ophthalmology specialist diagnosis using standard clinical criteria,n/r,image,fundus,ONH
Hernandez (2026),2026,SpxViT_var,Superpixel-based Vision Transformer with variable SLIC compactness parameter,n/r,n/r,internal,ophthalmology specialist diagnosis using standard clinical criteria,n/r,image,fundus,ONH
Kanwar (2026),2026,Proposed glaucoma detection framework,Refined blur map preprocessing with Energy Mask R-CNN optic disc/cup segmentation and Cyclic Code-based LSTM classification,n/r,n/r,external,expert-labelled benchmark dataset ground truth with optic disc/cup annotations and glaucoma labels,n/r,image,fundus,ONH
Zheng (2020),2020,Deep learning model,"Inception-V3 CNN pretrained on ImageNet with fine-tuning, GAP and fully connected layers",n/r,n/r,external,glaucomatous optic nerve head appearance on color fundus photographs and/or glaucomatous visual field defects; normal controls required normal visual field and no glaucoma history,n/r,image,SD-OCT,pRNFL
Sanghavi (2024),2024,Proposed System,13-layer CNN,n/r,n/r,internal,public dataset labels,softmax output,image,fundus,ONH
Sanghavi (2024),2024,VGG19,VGG19,n/r,n/r,internal,public dataset labels,n/r,image,fundus,ONH
Sanghavi (2024),2024,InceptionV3,InceptionV3,n/r,n/r,internal,public dataset labels,n/r,image,fundus,ONH
Sanghavi (2024),2024,ResNet50V2,ResNet50V2,n/r,n/r,internal,public dataset labels,n/r,image,fundus,ONH
Ko (2022),2022,TVGH model,EfficientNet B3 CNN,n/r,n/r,internal,"TVGH clinical diagnosis of POAG/non-glaucoma using ONH changes, visual field defects, gonioscopy and OCT/RNFL",softmax probability; cutoff n/r,image,fundus,macula
Ko (2022),2022,TVGH model on external datasets,EfficientNet B3 CNN,n/r,n/r,external,External dataset labels by expert majority/consensus or clinical review depending on dataset,softmax probability; cutoff n/r,image,fundus,mixed
Ko (2022),2022,DRISHTI-GS1-specific model,EfficientNet B3 CNN fine-tuned from TVGH model,n/r,n/r,external,DRISHTI-GS1 expert majority opinion,softmax probability; cutoff n/r,image,fundus,ONH
Ko (2022),2022,RIM-ONE r2-specific model,EfficientNet B3 CNN fine-tuned from TVGH model,n/r,n/r,external,RIM-ONE r2 expert majority opinion,softmax probability; cutoff n/r,image,fundus,ONH
Ko (2022),2022,CHGH-specific model,EfficientNet B3 CNN fine-tuned from TVGH model,2,n/r,external,Consensus of two experts after reviewing detailed clinical information,softmax probability; cutoff n/r,image,fundus,macula
Ko (2022),2022,Integrated model,EfficientNet B3 CNN trained with TVGH plus all external datasets,n/r,n/r,both,"Dataset-specific ground truth labels from clinical diagnosis, expert majority opinion, or expert consensus",softmax probability; cutoff n/r,image,fundus,mixed
Chaurasia (2025),2025,vgg19_bn internal validation,VGG19 with batch normalisation,n/r,n/r,internal,public dataset labels after ImageClassifierCleaner review and data cleaning,n/r,image,fundus,ONH
Chaurasia (2025),2025,vgg19_bn external validation on Drishti-GS1,VGG19 with batch normalisation,4,3-20,external,ground truth constructed by four experts,n/r,image,fundus,ONH
Kim (2020),2020,RNFL thickness map,VGG-19 CNN,2,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,RNFL
Kim (2020),2020,RNFL deviation map,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,RNFL
Kim (2020),2020,RNFL thickness map and axial length,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,RNFL
Kim (2020),2020,GCIPL thickness map,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,macula/GCIPL
Kim (2020),2020,GCIPL deviation map,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,macula/GCIPL
Kim (2020),2020,GCIPL thickness map and axial length,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,macula/GCIPL
Kim (2020),2020,RNFL deviation and GCIPL deviation map,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,RNFL + macula/GCIPL
Kim (2020),2020,RNFL deviation and GCIPL thickness map,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,RNFL + macula/GCIPL
Kim (2020),2020,RNFL thickness and GCIPL deviation map,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,RNFL + macula/GCIPL
Kim (2020),2020,RNFL thickness and GCIPL thickness map,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,RNFL + macula/GCIPL
Kim (2020),2020,All 4 maps (RNFL/GCIPL thickness and deviation maps),VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,RNFL + macula/GCIPL
