Study,Claude_Study_Label,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct,Scan_target,Glaucoma_definition
Thakoor (2021)b,Thakoor (2021),2021,USA,North America,hospital,n/r,872,n/r,n/r,n/r,n/r,OCT,"End-to-end CNNs (InceptionV3+FC, ResNet-18+FC, VGG-16+FC, DenseNet-121+FC) and CNN ensemble; comparator hybrid DL/ML models (Conv+FC, Conv+RF, VGG-16+RF, ResNet-18+RF, InceptionV3+RF)",Grading by a single OCT expert (D.C.H.) reviewing full OCT reports; binary G/NG threshold at score >50 on a 0-100 scale,external,unclear,glaucomatous optic neuropathy,n/r,,
Maetschke (2021),García (2021),2021,Spain,Europe,hospital,retrospective,320,144,176,50.13,55.50,OCT,RAGNet-VGG16 + LSTM + Sequential-Weighting Module (CNN-LSTM),"Expert ophthalmologist diagnosis per European Glaucoma Society guideline (IOP, gonioscopy, slit-lamp ONH assessment, Octopus standard automated perimetry, OCT+HRT RNFL/GCL thickness)",internal,no,any,45.00,,
Bisneto (2020),Bisneto (2020),2020,Portugal,Europe,research,retrospective,2482,706,1776,n/r,n/r,fundus,"GFI-C (MobileNetV2 backbone); also GFI-C-VGG16, GFI-C-VGG19, GFI-C-InceptionV3, GFI-C-ResNet50","Public dataset labels (Glaucoma vs No-Glaucoma) from Origa, Drishti-GS, RIM-ONE r1/r2/r3, iChallenge",internal,no,any,28.4,,
Bisneto (2020),Bisneto (2020),2020,India; Spain,mixed,research,retrospective,556,270,286,n/r,n/r,fundus,"Conditional GAN (Pix2pix; U-net generator + PatchGAN discriminator) for OD segmentation + taxonomic diversity / taxonomic distinction indexes for texture feature extraction; classifiers: MLP, SMO, Random Forest (best: all RGB channels + CLAHE + internal/external masks)",Expert manual annotations provided with the Drishti-GS and RIM-ONE v2 public datasets,internal,no,any,48.6,,
Vali (2023),Vali (2023),2023,Iran,mixed,hospital,cross-sectional,2183,828,1355,n/r,n/r,fundus,"DenseNet121 (also tested VGG16, ResNet18, InceptionV3, MobileNet, Vision Transformer); optic disc segmentation via modified U-Net (OD-SEG)","Clinical diagnosis from medical records by 3 neuro-ophthalmologists and 2 glaucoma specialists using Hodapp-Parrish-Anderson criteria (vertical cup-to-disc ratio, neuroretinal rim thinning, Humphrey visual field pattern standard deviation outside 95% limits on ≥2 reliable tests, glaucoma hemifield test outside normal limits, IOP >20 mmHg on >1 visit)",both,no,glaucomatous optic neuropathy,48.25,,
Mariottoni (2021),Mariottoni (2021),2021,USA,North America,hospital,retrospective,2118,1061,1057,n/r,59.0,fundus,"ResNet50 deep learning algorithm (transfer learning, ImageNet pre-trained)",Objective definition of glaucomatous optic neuropathy (GON) based on corresponding structural (SDOCT peripapillary RNFL) and functional (SAP 24-2 SITA) damage,internal,no,glaucomatous optic neuropathy,50.1,,
Muhammad (2017),Muhammad (2017),2017,USA,North America,hospital,retrospective,102,57,45,n/r,n/r,OCT,Hybrid Deep Learning Method (HDLM): AlexNet CNN feature extraction + Random Forest classifier,"Consensus classification by 2 glaucoma specialists based on patient chart, 24-2 and 10-2 visual fields, fundus photos, and single-page wide-field OCT report",internal,yes,POAG,55.9,,
Bouris (2026),Bouris (2026),2026,USA; Spain,mixed,mixed,retrospective,2087,1432,655,66.8,55.7,fundus,"Vision Transformer (ViT, vit-base-patch16-224-in21k); EfficientNetV2B0 (comparator)",Independent grading by two glaucoma specialists with third-expert adjudication of disagreements,internal,no,POAG,68.6,,
Nakahara (2022),Nakahara (2022),2022,Japan,Asia,hospital,retrospective,162,73,89,n/r,43.2,fundus,"ResNet-34 (deep residual neural network, pretrained on ImageNet)",Diagnosis by three glaucoma specialists based on Japan Glaucoma Society Guidelines (fundus structural changes; agreement of all three required),external,yes,glaucomatous optic neuropathy,45.1,,
Sujithra (2024),Sujithra (2023),2023,India,Asia,mixed,retrospective,8346,n/r,n/r,n/r,n/r,fundus,Gray Wolf Optimization with deep convolutional neural network-based ResNet50 transfer learning classifier,n/r,internal,no,any,n/r,,
Oh (2021),Oh (2021),2021,Korea,Asia,hospital,retrospective,1624,975,649,56.9,42.87,multimodal,"XGboost (also tested: SVM, C5.0, Random Forest)",diagnosis of glaucoma by three glaucoma specialists based on characteristic glaucomatous structural changes to the optic disc accompanied by glaucomatous visual field defects,internal,no,POAG or NTG,60.04,,
Shi (2024),Shi (2024),2024,China,Asia,hospital,retrospective,1338,761,577,n/r,n/r,fundus,ARIA (Automatic Retinal Image Analysis) with ResNet-50 transfer learning + SVM (models A/B/C/D); logistic regression (models 1-4),Ophthalmologist grading of fundus images with paired OCT optic disc/macular scans (Cirrus HD-OCT),internal,unclear,glaucomatous optic neuropathy,56.9,,
Hemelings (2023),Hemelings (2023),2023,China,Asia,mixed,prospective,300,46,254,n/r,n/r,fundus,"Deep learning system (Inception-v3, Version 20171024; 8 CNNs)",Consensus of 5 glaucoma specialists (≥50% agreement) using standardized referable GON criteria (VCDR ≥0.7; rim width ≤0.1 disk diameter; localized notches; RNFL defect and/or disk hemorrhage),external,unclear,glaucomatous optic neuropathy,15.3,,
Omar (2021),Omar (2021),2021,n/r,n/r,n/r,retrospective,499,297,202,n/r,n/r,multimodal,GLAUDIA ensemble (Logistic Regression + Random Forest + SVM-linear + KNN + Decision Tree); evaluated as majority-voting and consensus ensembles,n/r,internal,no,POAG,59.5,,
Orlando (2020),Orlando (2020),2020,China,Asia,hospital,retrospective,400,40,360,n/r,55,fundus,"REFUGE on-site challenge: 12 teams (VRT, SDSAIRC, CUHKMED, NKSG, Mammoth, Masker, SMILEDeepDR, BUCT, WinterFell, NightOwl, Cvblab, AIML) plus ground-truth vCDR baseline","comprehensive evaluation of clinical records including follow-up fundus images, IOP measurements, OCT, and visual fields (reproducible VF defects + ONH damage defined as vCDR > 0.7 and/or RNFL thinning)",internal,yes,glaucomatous optic neuropathy,10,,
Juneja (2020),Juneja (2020),2020,India,Asia,research,cross-sectional,267,145,122,n/r,n/r,fundus,"GC-NET (proposed); also Xception, InceptionV3, ResNet50, DenseNet121, VGG16",dataset ground-truth labels (normal/glaucoma) from DRISHTI-GS and RIM-ONE,internal,no,glaucomatous optic neuropathy,54.3,,
Pandey (2024),Pandey (2024),2024,Canada,North America,research,cross-sectional,100,25,75,n/r,n/r,fundus,Deep Convolutional Ensemble (DCE) — ensemble of five InceptionV3 CNNs,"original disease-class labels from 12 public datasets (DiaretDB, Drishti-GS, DRIVE, HRF, IDRiD, Kaggle-38, Kaggle-DR, ODIR, MESSIDOR, ORIGA-light, REFUGE, STARE)",internal,no,any,25,,
Islam (2025),Islam (2025),2025,Bangladesh,Asia,hospital,n/r,208,100,108,n/r,n/r,multimodal,"ResNet-18 (fundus), custom CNN (OCT), mid-level feature fusion model (fundus+OCT)",Diagnosis by expert/senior ophthalmologists at Bangladesh Eye Hospital based on comprehensive clinical evaluation,internal,no,any,48.08,,
Yang (2020),Yang (2020),2020,South Korea,Asia,hospital,retrospective,3815,486,3329,n/r,n/r,fundus,"ResNet-50 CNN (Keras/TensorFlow, ImageNet transfer learning)",Two expert neuro-ophthalmologists with corroborating visual field testing and OCT (Stratus or Spectralis); brain MRI and laboratory/genetic workup for NGON,internal,no,glaucomatous optic neuropathy,3.96,,
Garcia-Lopez (2026),García-López (2026),2026,Mexico,mixed,hospital,retrospective,163,31,132,n/r,n/r,multimodal,CNN ensemble (ResNet50 + DenseNet169 + InceptionV3 for CFP module; MobileNetV3 + Xception + ResNet50 for OCT module) with metric-based weighted voting exponential (MBWVe) fusion across modalities,consensus label from four ophthalmologists (majority agreement on image-based labelling),both,no,any,19.0,,
Phene (2019),Phene (2019),2019,USA,mixed,mixed,retrospective,11193,1391,9802,n/r,n/r,fundus,Deep learning Inception-v3 ensemble (10 networks),"Dataset A: adjudication panel of 3 glaucoma specialists on fundus photographs; Dataset B: glaucoma-related ICD codes from VA teleretinal screening; Dataset C: glaucoma specialist diagnosis based on full glaucoma workup (history, exam, VF, OCT)",external,yes,glaucomatous optic neuropathy,n/r,,
Jammal (2020),Jammal (2020),2020,USA,North America,hospital,cross-sectional,490,210,280,60.5,52.7,fundus,"M2M DL (ResNet34, OCT-trained)",Repeatable glaucomatous visual field defects on standard automated perimetry (SAP),internal,unclear,glaucomatous optic neuropathy,42.9,,
Asaoka (2019),Lee (2020),2019,Japan,Asia,hospital,mixed,196,114,82,n/r,61.7,OCT,"Deep learning CNN with transfer learning (6 conv layers, 3 max-pooling, 3 fully connected; Chainer); comparators: random forests, support vector machine",Glaucoma specialist diagnosis based on ophthalmoscopically apparent glaucomatous optic disc change confirmed by a panel of glaucoma specialists plus glaucomatous VF change by Anderson-Patella criteria (MD > -5 dB),internal,unclear,other,58.2,,
Ramzan (2019),Ramzan (2019),2019,Pakistan,Asia,hospital,n/r,50,28,22,n/r,n/r,OCT,Custom automated CDR pipeline (ILM/RPE layer segmentation with horizontal CDR threshold >0.5),Ophthalmologist CDR annotations (4 ophthalmologists) and computer-generated CDR values (CGV),internal,no,any,56,,
Zemborain (2020),Zemborain (2020),2020,USA,North America,hospital,cross-sectional,100,64,36,55.5,35.0,OCT,human OCT specialist (no AI/DL; Spectralis HRA+OCT Glaucoma Module Premium scans),"glaucoma specialist classification using all available information (family history, repeat visits, IOP, 10-2 and 24-2 visual fields, OCT)",none,unclear,glaucomatous optic neuropathy,64,,
Civit-Masot (2020),Civit-Masot (2020),2020,Spain,Europe,research,cross-sectional,252,n/r,n/r,n/r,n/r,fundus,"Ensemble of generalized U-Net (disc/cup segmentation + CDR) and MobileNet V2 (transfer learning, ImageNet pretrained)",Ophthalmologist labels provided with RIM-ONE v3 and DRISHTI-GS public datasets,internal,unclear,any,n/r,,
Rasel (2024),Rasel (2024),2024,mixed,mixed,research,retrospective,3088,1295,1793,n/r,n/r,OCT,2D-ResNet18; 3D-ResNet18; 3D-DenseNet121; 3D-CNN-Encoder,ICD-10 H40.1 (POAG) for UKB; provided dataset labels (POAG) for Maetschke ONH-OCT,internal,no,POAG,41.9,,
Rodriguez-Robles (2023),Rodriguez-Robles (2023),2023,Spain,Europe,hospital,retrospective,208,47,161,61.61,64.9,multimodal,"Decision Tree and Support Vector Machine (SVM) using inter-eye asymmetry features (CDR, RDR, optic rim width from fundus; RNFL thickness from OCT)",Ophthalmologist classification (healthy vs glaucoma) at Hospital General Universitario Reina Sofia,internal,no,any,22.6,,
Russakoff (2020),Russakoff (2020),2020,"USA, Hong Kong, India",mixed,hospital,retrospective,1936,1135,801,n/r,n/r,OCT,gNet3D (3D CNN on Cirrus SD-OCT macular cubes with Orion homogenization),"Multimodal clinical assessment (fundus photographs, visual fields, OCT RNFL/GCIPL, IOP, treatment history, chart review) labeled by glaucoma fellowship-trained specialists",both,yes,other,n/r,,
Alryalat (2024),AlRyalat (2024),2024,China,Asia,research,retrospective,400,40,360,n/r,n/r,fundus,ChatGPT-4 (multimodal GPT-4),ONH damage and reproducible visual field defects (REFUGE dataset labels),external,unclear,other,10,,
Sanchez-Morales (2022),Sánchez-Morales (2022),2022,Spain,Europe,mixed,retrospective,2195,875,1252,n/r,n/r,fundus,Ensemble (CNN + CapsNet + CDAE) with K-NN soft voting,expert ophthalmologist annotation (PAPILA); original public dataset labels (JOINT),internal,no,any,n/r,,
Senthil (2025),Senthil (2025),2025,India,Asia,hospital,prospective,213,162,51,55,38,fundus,Medios Glaucoma AI (Remidio FOP NM10 smartphone-based fundus camera),"Glaucoma specialist diagnosis based on clinical exam, visual fields, and SD-OCT",external,yes,any,76.06,,
Nugraha (2025),Nugraha (2025),2025,Indonesia,Asia,research,retrospective,12316,4767,7549,n/r,n/r,fundus,"CNN with weighted binary cross-entropy loss (InceptionV3, ResNet50, DenseNet121, MobileNetV2) with ImageNet transfer learning","Original labels inherited from the 19 contributing public datasets (trained graders, ophthalmologists, or glaucoma specialists based on fundus photograph evaluation, sometimes supplemented by ancillary clinical data such as IOP or optic disc notes; criteria not standardized across datasets)",internal,no,any,38.7,,
Serte (2021),Serte (2021),2020,Turkey,Asia,research,retrospective,1542,756,786,n/r,n/r,fundus,"Graph-based saliency + ensemble of CNNs (AlexNet, ResNet-50, ResNet-152) with SP/PP/MV/SMP fusion",n/r,internal,unclear,any,49.1,,
Shehryar (2020),Shehryar (2020),2020,Pakistan,Asia,hospital,n/r,50,28,22,n/r,n/r,multimodal,H-CAD (Hybrid CAD: HSF structural + HTF textural SVM on fundus + OCT module),annotation by four ophthalmologists (AFIO),internal,no,glaucomatous optic neuropathy,56,,
Krishnaadithya (2021),Krishna Adithya (2021),2021,"India, Singapore",Asia,research,cross-sectional,751,238,513,n/r,n/r,fundus,EffUnet-SpaGen,manual annotation by ophthalmologist with best-fitting ellipse and grader consensus,internal,no,glaucomatous optic neuropathy,n/r,,
Shen (2023),Shen (2023),2023,China,Asia,research,retrospective,8351,3340,5011,n/r,n/r,fundus,MG-EfficientNet (mask-guided EfficientNetV2-S with Inverted-MBConv and dilated-convolution downsampling),public dataset glaucoma diagnostic labels,internal,no,any,40.0,,
Hirota (2020),Hirota (2020),2020,Japan,Asia,hospital,retrospective,337,207,130,n/r,n/r,fundus,"VGG16 CNN (fine-tuned; RGB, red, green, and blue channel variants)","Glaucoma specialist ophthalmologist diagnosis per Japan Glaucoma Society Guidelines, with OCT, Goldmann applanation tonometry, Humphrey perimetry, and best-corrected visual acuity",both,no,any,50,,
Chang (2021),Chang (2021),2021,Republic of Korea,Asia,screening,retrospective,1653,223,1430,55.7,45.4,fundus,ResNet-50 deep learning model (with adversarial explanation),"Annotation by 3 of 9 board-trained ophthalmologists per ISGEO criteria (referable glaucoma defined as vertical CDR >=0.7, DRN <=0.1 disc diameter, disc hemorrhage, or RNFLD)",internal,yes,other,9.6,,
Schottenhamml (2021),Schottenhamml (2021),2021,Germany,Europe,hospital,retrospective,259,184,75,50.6,50.8,OCT-A,"CNN (DenseNet121, DenseNet161, ResNet-152, ResNext-50-32x4d, WideResNet-101-2); SVM on handcrafted Ong features; SVM on vessel density","standardized ophthalmological examination (IOP by Goldmann tonometry, fundus photography, automated visual field testing, RNFL/RGC/INL/BMO-MRW OCT)",internal,unclear,any,71.0,,
Shoukat (2023),Shoukat (2023),2023,Pakistan,Asia,research,retrospective,1940,585,1355,n/r,n/r,fundus,ResNet-50 (transfer learning),expert annotation (public dataset labels),internal,no,any,30.2,,
Shyamalee (2024),Shyamalee (2024),2024,Sri Lanka,Asia,research,retrospective,3598,1153,2445,n/r,n/r,fundus,Attention U-Net with ResNet50 backbone (segmentation) + modified Inception V3 (classification); GlaucoCare,"public dataset reference labels (RIM-ONE, ACRIMA, ORIGA, REFUGE, DRISHTI-GS1)",external,no,any,32.0,,
Sidhu (2024),Sidhu (2024),2024,India,Asia,hospital,retrospective,975,440,535,57.9,52.3,fundus,"Lobe (Microsoft 2021), ResNet50V2",grading by a single senior glaucoma specialist,internal,unclear,glaucomatous optic neuropathy,45.1,,
Chavan (2025),Chavan (2025),2025,India,Asia,research,cross-sectional,2870,n/r,n/r,n/r,n/r,fundus,GlaucoAttent Net (cascaded U-Net with spatial and knowledge-based attention),"expert annotations / ground truth labels provided with ORIGA, REFUGE and G1020 datasets",internal,no,any,n/r,,
Singh (2022),Singh (2022),2022,India,Asia,research,retrospective,110,25,85,n/r,53.8,fundus,CPSO + machine learning (KNN/SVM/Random Forest/Decision Tree) with univariate or feature-importance feature selection,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground truth by two doctors,internal,no,any,23.1,,
Song (2025),Song (2025),2025,Taiwan,Asia,hospital,n/r,1416,n/r,n/r,n/r,n/r,multimodal,"Concatenated CNN (fundus image) + ANN (WA_MT, WA_RNFL) model",Humphrey Field Analyzer V-MD values (mild/early: 0 to -6 dB),internal,unclear,other,n/r,,
Haider (2023),Haider (2023),2023,South Korea,Asia,research,retrospective,n/r,n/r,n/r,n/r,n/r,fundus,FBSS-Net (feature-blending-based shallow segmentation network); ESS-Net (efficient shallow segmentation network),"ground-truth OD/OC annotations from public datasets (REFUGE, Drions-DB, Drishti-GS, Rim-One-r3)",internal,no,any,n/r,,
Gheisari (2021),Gheisari (2021),2021,Australia,Oceania,mixed,n/r,695,379,316,65.1 (glaucoma); 47 (normal),44.5,fundus,VGG16; ResNet50; VGG16+LSTM; ResNet50+LSTM,Clinical diagnosis by glaucoma specialist based on dilated stereoscopic ONH examination (structural features) with or without visual field defects on SAP (Humphrey 24-2 SITA-Standard); OCT used as adjunct,internal,no,glaucomatous optic neuropathy,54.5,,
Szanto (2025),Szanto (2025),2025,USA,North America,mixed,cross-sectional,7014,1839,5175,54.2,35,OCT,"ResNet-3D-18 (3 models: full volume, PPR-only, ONH-only)",clinical diagnosis from source studies/clinics,internal,unclear,glaucomatous optic neuropathy,26.2,,
Alasmari (2025),Alasmari (2025),2025,China,Asia,research,retrospective,1200,120,1080,n/r,n/r,fundus,U-Net with ResNet50/VGG16/MobileNetV2 backbones and MaskFormer with Swin-Base backbone; YOLOv11 for OD detection; vCDR > 0.5 threshold for classification,expert ophthalmologist annotations (REFUGE dataset annotated by 7 ophthalmologists and reviewed by 1),internal,no,glaucomatous optic neuropathy,10,,
Sangchocanonta (2025),Sangchocanonta (2025),2025,Thailand,Asia,hospital,retrospective,9380,2591,5543,n/r,n/r,fundus,DeiT-S vision transformer with polar transformation and pie augmentation (also ConvNeXt-S comparator),"consensus of three well-trained ophthalmologists (3/3 unanimous or 2/3 majority; tie broken by experienced supervisor) from Center of Excellence in Glaucoma, Chulalongkorn",both,no,any,27.62,,
Medeiros (2019),Medeiros (2019),2019,USA,North America,research,cross-sectional,1198,870,604,n/r,n/r,fundus,ResNet34 deep learning CNN trained on SD OCT average RNFL thickness,Glaucomatous visual field loss on SAP plus glaucomatous optic neuropathy on slit-lamp fundus examination (for ROC); SD OCT average RNFL thickness (training target),internal,unclear,glaucomatous optic neuropathy,57.2,,
Upadhyaya (2025),Upadhyaya (2025),2025,India,Asia,screening,prospective,299,22,277,45,52.2,fundus,"Medios AI-Glaucoma (offline, Remidio FOP NM-10)",Tele-ophthalmologist diagnosis based on fundus photos (glaucoma fellows); glaucoma specialist with VF/OCT for referred subset,external,yes,other,7.4,,
Upadhyaya (2025b),Upadhyaya (2025b),2025,India,Asia,screening,prospective,299,22,277,45,52.2,fundus,"Medios AI-Glaucoma (offline, Remidio FOP NM-10)",tele-ophthalmologist diagnosis (glaucoma fellow); glaucoma specialist with VF/OCT for referred subset,external,yes,other,7.4,,
Leonardo (2022),Leonardo (2022),2022,Portugal,Europe,research,cross-sectional,n/r,n/r,n/r,n/r,n/r,fundus,EfficientNetB0 with CycleGAN-based image quality augmentation (RetinaQualEnhancer/RetinaQualDegrader),n/r,internal,no,glaucomatous optic neuropathy,n/r,,
Wang (2021),Wang (2021),2021,China,Asia,research,retrospective,686,339,347,n/r,n/r,fundus,Glaucoma-Net (transferred AlexNet and VGG-16),"expert ophthalmologist labels from public datasets (DRIONS-DB, HRF, RIM-ONE, Drishti-GS1)",internal,unclear,glaucomatous optic neuropathy,49.4,,
Wang (2023),Wang (2023),2023,China,Asia,research,retrospective,100,50,50,40.64,n/r,multimodal,Mstnet (ResNet101 + Video Swin Transformer with spatial-relation multimodal fusion),ophthalmologist labels (GAMMA dataset grading),internal,no,any,50,,
Lian (2024),Lian (2024),2024,China,Asia,research,retrospective,n/r,n/r,n/r,n/r,n/r,fundus,Inception-Resnet-v2 + Vision Transformer (CNN-ViT),n/r,internal,no,n/r,n/r,,
Liu (2024),Liu (2024),2024,China,Asia,community,cross-sectional,1561,136,1425,66.94,53.87,OCT,MRMSG multi-region multi-scan-pattern fusion model (ResNet18 backbone with AMSFM + AMRFM attention modules),"Expert annotation by a senior ophthalmologist (Tongren Eye Hospital, >10 years experience) using visual field, retinal layer thickness map, and other clinical indicators",internal,unclear,any,8.71,,
Wang (2024),Liu (2024),2024,China,Asia,hospital,retrospective,16000,2000,14000,n/r,n/r,fundus,"MobileNetV3, ShufflenetV2, ResNet152, DenseNet121",diagnosis and labeling by two professional ophthalmologists (ISGEO definition for glaucoma),internal,no,glaucomatous optic neuropathy,12.5,,
Xiong (2025),Xiong (2025),2025,China,Asia,research,retrospective,179,47,132,n/r,n/r,fundus,Multi-GlaucNet,"public dataset labels (REFUGE, ACRIMA)",internal,no,any,26.3,,
Xu (2024),Xu (2024),2024,China,Asia,hospital,retrospective,523,113,410,47.4,44,multimodal,"Dual-modal fusion network (Inception v3 for fundus + ANN/MLP for 30-sector RNFL); comparators: OCT Net (ANN), Image Net (Inception v3), SVM with ISNT/Clock/OD sector divisions, ResNet50, VGG16","Consensus of two senior glaucoma specialists using fundus images and OCT reports; eye judged GON if VCDR ≥0.7, general rim thinning ≥60°, localized rim thinning <60° (11–1 or 5–7 o'clock), RNFL defects, or peripapillary hemorrhages (per Xu et al. 2021 criteria); eye judged GON if at least one specialist judged GON",internal,no,glaucomatous optic neuropathy,23.4,,
Xu (2021),Xu (2021),2021,China,Asia,hospital,retrospective,1882,877,1005,n/r,52,fundus,TIA-Net (Transfer Induced Attention Network),manual labeling by professional ophthalmologists from Beijing Tongren Eye Center,both,no,glaucomatous optic neuropathy,46.6,,
Luo (2021),Luo (2021),2021,China,Asia,research,cross-sectional,n/r,n/r,n/r,n/r,n/r,fundus,"FCL-EfficientNet-B3 (focal + correntropy mixture loss); baselines EfficientNet-B3, FL-EfficientNet-B3, BCL-EfficientNet-B3",annotations by trained ophthalmologist (OIA-ODIR dataset labels),internal,unclear,other,n/r,,
Kui (2025),Kui (2025),2025,China,Asia,research,retrospective,2870,699,2171,n/r,n/r,fundus,PK-Net (GloLocNet + BFNet; ConvNeXt-Tiny backbone),n/r,both,unclear,glaucomatous optic neuropathy,24.4,,
Rao (2024),Rao (2024),2024,India,Asia,hospital,prospective,243,111,132,59,49,fundus,Medios AI-Glaucoma (ResNet-50),"Glaucoma specialist final diagnosis following comprehensive glaucoma workup (clinical exam, IOP, gonioscopy, SD-OCT, visual field) using predefined criteria",external,yes,glaucomatous optic neuropathy,45.67,,
Surya (2023),Surya (2023),2023,India,Asia,hospital,prospective,1085,n/r,n/r,n/r,n/r,fundus,Dr Noon (Medi Whale),ophthalmologist grading per ICO glaucoma guidelines,external,yes,glaucomatous optic neuropathy,n/r,,
Guo (2021),Guo (2021),2021,USA,North America,research,retrospective,250,75,175,n/r,n/r,fundus,MobileNetV2 (with transfer learning from ImageNet); also compared to InceptionV3 and AlexNet,labels from public Kaggle dataset verified by retinal specialists,internal,no,glaucomatous optic neuropathy,30.0,,
Atalay (2022),Atalay (2022),2022,Turkey,Asia,hospital,retrospective,558,320,238,55.9,71,fundus,2D CNN; ResNet-50; ResNet-101; VGG-19,"Consensus of three ophthalmologists grading optic disc photographs (vertical CDR, rim-to-disc ratio, RNFL defect, disc hemorrhage)",internal,no,glaucomatous optic neuropathy,57.3,,
Guo (2022)b,Guo (2022),2022,China,Asia,research,retrospective,7159,2199,4960,n/r,n/r,fundus,"MTCLF (multitask curriculum learning framework, ResNet-34 teacher + dual-branch ResBlock student)","Glaucoma expert diagnosis (intraocular pressure, visual field, and optic disc disease for LAG); clinical glaucoma diagnostic labels for ORIGA, REFUGE, RIM-ONE-r2",internal,no,any,30.7,,
Mansour (2021),Mansour (2021),2021,Egypt,mixed,research,retrospective,260,n/r,n/r,n/r,n/r,fundus,Perceptron based Convolutional Multi-Layer Neural Network (PCMNN) with Weighted Least Square Fit holistic feature extraction; entropy-based CNN for OD/OC segmentation,ophthalmologist annotations (RIM-ONE: 2 ophthalmologists; DRISHTI-GS: 4 experts),internal,unclear,glaucomatous optic neuropathy,n/r,,
Xue (2022),Xue (2022),2022,China,Asia,hospital,retrospective,240,180,60,46.5,49.7,multimodal,"MFDL (multi-feature deep learning; ResNet-based DetectionNet + ClassificationNet, IOP+CFP+VF)",Consensus grading by three experienced glaucoma experts per American Academy of Ophthalmology guideline,internal,unclear,glaucomatous optic neuropathy,75.0,,
