Study,Codex_Study_Label,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct,Scan_target,Glaucoma_definition
Li (2022),Li (2022),2022,China,Asia,hospital,prospective,1585,368,1217,mean 53.19; median 56.00,43.22,fundus,Automated fundus screening algorithm / automated fundus screening software,Two certified ophthalmologists graded fundus images; disagreements arbitrated by a senior ophthalmologist. Glaucoma suspect defined from suspected glaucoma hallmarks on fundus images.,external,yes,other,23.2,,
Wang (2020),Wang (2020),2020,"Hong Kong, China; USA",mixed,hospital,retrospective,6108,3732,2376,n/r,n/r,OCT,2D-ResNet-SEMT semi-supervised multi-task learning network; comparator CNN/ResNet models,Two glaucoma specialists labeled OCT images as glaucoma/normal using visual field tests and other clinical records; senior specialist adjudicated disagreements,both,no,any,61.1,,
Wei (2025),Wei (2025),2025,China,Asia,hospital,retrospective,6152,296,5856,45 median (range 6-95),50.4,fundus,Comprehensive AI Retinal Expert (CARE) system,Double-blind review of color fundus images by two associate chief ophthalmologists specializing in retinal diseases; disagreements adjudicated by a third chief ophthalmologist,external,unclear,other,4.8,,
Liao (2020),Liao (2020),2020,Singapore,Asia,research,retrospective,650,168,482,n/r,n/r,fundus,EAMNet,clinical glaucoma diagnosis in ORIGA dataset with manual optic disc/cup labels for segmentation,internal,no,any,25.85,,
Li (2021),Li (2021),2021,China and Japan,Asia,mixed,retrospective,22179,4269,17910,55.8 (weighted from reported dataset means),48.5,fundus,"Deep learning system using InceptionResNetV2 CNN, ImageNet-pretrained, TensorFlow","Consensus grading by three board-certified glaucoma specialists; disagreements adjudicated by a senior glaucoma specialist; referable GON based on optic disc/RNFL criteria including VCDR >=0.7, rim width <=0.1 disc diameter, retinal nerve fibre layer defect/localised notch, or disc splinter haemorrhage",both,yes,glaucomatous optic neuropathy,19.2,,
Xu (2021)b,Xu (2021)b,2021,China,Asia,hospital,retrospective,9855 images,4859 images,4996 images,training 52.6; validation 1 51.9; validation 2 53.8; validation 3 54.3,training 54.6; validation 1 49.7; validation 2 51.9; validation 3 48.2,fundus,"Hierarchical deep learning system (HDLS): Inception-v3 pre-diagnosis classification network, U-Net segmentation networks, SVM/decision-tree final diagnosis using RNFLD, MCDR and ISNT score",Two-tier grading of fundus photographs by trained graders and senior glaucoma specialists; glaucoma specialists classified glaucomatous optic neuropathy using fundus images according to defined clinical criteria,both,unclear,glaucomatous optic neuropathy,47.9,,
Shibata (2018),Shibata (2018),2018,China,Asia,hospital,retrospective,8000,1967,6033,n/r,n/r,fundus,Inception-v3 deep convolutional neural network,Consensus grading of color fundus photographs by trained ophthalmologists; referable GON defined as suspect or certain GON based on optic disc/RNFL criteria,internal,yes,glaucomatous optic neuropathy,24.6,,
MacCormick (2019),MacCormick (2019),2019,Singapore; Spain,mixed,research,cross-sectional,809,207,586,n/r,n/r,fundus,spatial probabilistic cup-to-disc ratio profile algorithm; automated optic cup/disc segmentation FCN,clinical glaucoma diagnosis in ORIGA/SiMES and RIM-ONE public datasets; expert optic disc/cup segmentation for segmentation ground truth,both,no,glaucomatous optic neuropathy,25.6,,
Hemelings (2023),Hemelings (2023),2023,"mixed: external datasets from Australia, Germany, United States, Singapore, China, and Spain; model-development data from Belgium",mixed,mixed,mixed,149455,n/r,n/r,n/r,n/r,fundus,G-RISK; custom ResNet-50 convolutional neural network regression model; comparator binary classification CNN,"Dataset-specific glaucoma ground truth labels, including expert clinical/ophthalmic assessment, VCDR or ISGEO-based cohort definitions, and public challenge labels; thresholded as referable/suspected glaucoma where applicable",external,yes,glaucomatous optic neuropathy,1.08-56.17,,
Thakoor (2021)b,Thakoor (2021),2021,USA,North America,mixed,retrospective,872,n/r,n/r,n/r,n/r,OCT,"Hybrid DL/ML models and end-to-end CNNs using OCT RNFL probability maps: Conv+FC, Conv+RF, VGG-16+RF, ResNet-18+RF, InceptionV3+RF, DenseNet-121+FC, CNN ensemble, VGG-16+FC, ResNet-18+FC, InceptionV3+FC",OCT expert grading of full OCT reports; score <50 classified as nonglaucomatous and >50 as glaucomatous,both,no,glaucomatous optic neuropathy,n/r,,
Bisneto (2020),Bisneto (2020),2020,India and Spain,mixed,research,retrospective,556,270,286,n/r,n/r,fundus,"cGAN/Pix2Pix optic disc segmentation with taxonomic diversity and taxonomic distinction texture descriptors; classifiers: MLP, SMO, Random Forest",specialist-labeled public dataset diagnoses and optic disc/cup markings,internal,no,any,48.6,,
Qiu (2025),Qiu (2025),2025,China,Asia,hospital,retrospective,1054,509,545,n/r,n/r,multimodal,"CNN ensemble using Swin_base_patch4_window7_224_in22k, Inception ResNet V2, Inception V3 and Xception with model ensemble and back-end mean fusion","POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history, requiring glaucomatous optic nerve damage and reproducible visual field abnormalities with open angles and no alternative explanation",internal,no,POAG,48.3,,
Bisneto (2020),Bisneto (2020),2020,mixed public datasets,mixed,research,retrospective,2482,706,1776,n/r,n/r,fundus,"GFI-C glaucoma CAD classifier with MobileNetV2 backbone; variants with VGG16, VGG19, InceptionV3, and ResNet50",original public dataset glaucoma/no-glaucoma labels; specific clinical reference standard n/r,internal,no,any,28.4,,
Mariottoni (2021),Mariottoni (2021),2021,USA,North America,hospital,retrospective cross-sectional,2118,1061,1057,62.8 glaucoma; 52.9 normal,48.8 glaucoma; 70.3 normal,fundus,Deep learning model using ResNet50,Objective definition of glaucomatous optic neuropathy based on corresponding SDOCT RNFL abnormality and SAP abnormality,internal,yes,glaucomatous optic neuropathy,50.1,,
Maetschke (2021),Garcia (2021),2021,Spain,Europe,hospital,retrospective,320,144,176,50.13 +/- 15.54,55.50,OCT,"RAGNet residual-attention CNN feature extractor; CNN-LSTM volume model with sequential-weighting module; VGG16/VGG19, OS3D/OS2D LSTM variants, and replicated Maetschke et al. and Ran et al. models","Expert ophthalmologist diagnosis using European glaucoma guideline protocol including IOP by Goldmann applanation tonometry, central corneal thickness, gonioscopy, slit-lamp optic nerve head assessment, standard automated perimetry, and OCT/HRT RNFL and ganglion cell layer assessment",both,no,POAG,45.0,,
Muhammad (2017),Muhammad (2017),2017,United States,North America,hospital,cross-sectional,102,57,45,n/r,n/r,OCT,Hybrid deep learning model using pretrained AlexNet feature extraction and random forest classifier,"Consensus classification by two glaucoma specialists using 24-2 and 10-2 visual fields, fundus photographs, patient chart information, and a single-page OCT report; eyes judged glaucomatous/probably glaucomatous by both were cases and healthy/probably healthy by both were controls",internal,yes,glaucomatous optic neuropathy,55.9,,
Vali (2023),Vali (2023),2023,Iran; Thailand; United States; one public external dataset country n/r,mixed,mixed,cross-sectional,2183,828,1355,n/r,n/r,fundus,"OD-SEG optic disc segmentation plus ImageNet transfer-learning classifiers: DenseNet121, MobileNet, InceptionV3, VGG16, ResNet18, Vision Transformer","Medical-record diagnosis by neuro-ophthalmologists and glaucoma specialists using optic disc, visual field, intraocular pressure, and clinical etiologic criteria",both,no,glaucomatous optic neuropathy,37.93,,
Nakahara (2022),Nakahara (2022),2022,Japan,Asia,hospital,cross-sectional,162,73,89,66.5,43.8,fundus,34-layer ResNet deep learning algorithm,Diagnosis by three glaucoma-specialist ophthalmologists based on Japan Glaucoma Society Guidelines using fundus photographs; VF results were not considered for testing diagnosis,external,yes,glaucomatous optic neuropathy,45.1,,
Shi (2024),Shi (2024),2024,China,Asia,hospital,retrospective,1338 images / 544 patients,761 images,577 images,control 48.3; probable GON 52.4; definite GON 62.9,control 55.8; probable GON 47.7; definite GON 43.3,fundus,"ARIA method using ResNet50 feature generation, penalised GLM feature selection, SVM and logistic regression classifiers",paired OCT optic disc and/or macula scan results plus ophthalmologist labelling of GON,internal,no,glaucomatous optic neuropathy,56.9,,
Sujithra (2024),Sujithra (2023),2023,Singapore and India,Asia,mixed,retrospective,8346,n/r,n/r,n/r,n/r,fundus,Gray Wolf Optimization with deep convolutional neural network-based ResNet50 transfer learning classifier; comparator models ResNet and VGG,dataset labels/clinical diagnosis; exact reference standard n/r,internal,no,any,n/r,,
Lin (2022),Lin (2022),2022,United States; China,mixed,mixed,mixed,42194,4032,38162,n/r,n/r,fundus,GlaucomaNet; DenseNet-201; ResNet-152; VGG-16; NASNetMobile; Xception; MobileNetV2; ResNet-50; ensemble methods,"OHTS: Visual Field Reading Center and Optic Disc Reading Center with masked adjudication/Endpoint Committee criteria; LAG: qualified glaucoma specialists using morphology, intraocular pressure, visual field loss, and manual optic disc assessment",internal,no,POAG,9.6 overall; OHTS 6.2; LAG 35.2,,
Bouris (2026),Bouris (2026),2026,United States; Spain,mixed,mixed,retrospective,2087,1432,655,66.8 (UCLA glaucoma cohort only),55.7 (UCLA glaucoma cohort only),fundus,Vision Transformer (ViT; vit-base-patch16-224-in21k) classifier with RimNet preprocessing; EfficientNetV2B0 comparator,"Optic disc photographs independently graded by two glaucoma specialists, with disagreements adjudicated by a third expert; grader labels used as ground truth",internal,no,POAG,68.6,,
Oh (2021),Oh (2021),2021,South Korea,Asia,hospital,retrospective,1624,975,649,56.9 ± 15.7,42.9,multimodal,"Support vector machine, C5.0, random forest, XGBoost; proposed web explanation system named Magellan","Diagnosis by three glaucoma specialists based on characteristic glaucomatous optic disc structural change accompanied by glaucomatous visual field defect; controls required normal ocular findings, no RNFL or visual field defects, and IOP ≤21 mmHg",internal,no,POAG,60.0,,
Juneja (2020),Juneja (2020),2020,India; RIM-One country n/r,mixed,research,retrospective,267,145,122,n/r,n/r,fundus,GC-NET; Xception; InceptionV3; ResNet50; DenseNet121; VGG16,Dataset ground-truth normal/abnormal labels; DRISHTI-GS disc/cup soft segmentation maps from researchers at IIIT Hyderabad with Aravind Eye Hospital; RIM-One labels glaucoma/non-glaucoma with cup/disc ground truth,internal,no,any,54.31,,
Pandey (2024),Pandey (2024),2024,mixed,mixed,research,retrospective,100,25,75,n/r,n/r,fundus,Deep convolutional ensemble of five InceptionV3 CNNs pretrained on ImageNet,Original public dataset disease labels/diagnoses as provided by source institutions; glaucoma images from glaucoma-labelled fundus datasets,external,no,any,25,,
Omar (2021),Omar (2021),2021,n/r,n/r,research,retrospective,499,297,202,n/r,n/r,multimodal,"GLAUDIA; logistic regression, random forest, SVM linear/poly/RBF, K-nearest neighbors, decision tree, Gaussian Naive Bayes, Bernoulli Naive Bayes, majority-voting ensemble, consensus ensemble",Diagnosis label in Kim et al. Dryad dataset; clinical reference standard not described,internal,no,POAG,59.5,,
Orlando (2020),Orlando (2020),2020,China,Asia,hospital,retrospective,400,40,360,n/r,55,fundus,"REFUGE Challenge glaucoma classification algorithms: VRT, SDSAIRC, CUHKMED, NKSG, Mammoth, Masker, SMILEDeepDR, BUCT, WinterFell, NightOwl, Cvblab, AIML; ground-truth vCDR benchmark; top-3 ensemble","Clinical diagnosis from comprehensive ophthalmologic evaluation including clinical records, follow-up fundus images, intraocular pressure, OCT and visual fields; glaucoma defined by optic nerve head damage with reproducible glaucomatous visual field defects.",internal,yes,glaucomatous optic neuropathy,10.0,,
Hemelings (2023),Hemelings (2023),2023,China,Asia,mixed,mixed,300,46,254,n/r,n/r,fundus,"Deep learning system (DLS), version 20,171,024, using Inception-v3 convolutional neural networks","Expert consensus reference standard from five glaucoma specialists; referable GON defined by VCDR >=0.7, rim width <=0.1 disc diameter, localized notches, RNFL defect and/or disc hemorrhage, with final label assigned when >50% of specialists agreed",external,no,glaucomatous optic neuropathy,15.3,,
Yang (2020),Yang (2020),2020,South Korea,Asia,hospital,retrospective,2675,106,2569,n/r,n/r,fundus,ResNet-50 convolutional neural network using Keras/TensorFlow with ImageNet transfer learning,"Two expert neuro-ophthalmologists with corroborative visual field testing and OCT; glaucoma criteria included progressive optic disc change, RNFL thinning, and repeatable glaucomatous visual field defect",internal,no,glaucomatous optic neuropathy,4.0,,
Jammal (2020),Jammal (2020),2020,United States,North America,hospital,cross-sectional,490 eyes/images from 370 subjects,210,280,60.5,52.7,fundus,Machine-to-machine deep learning algorithm; ResNet34 predicting SD-OCT RNFL thickness from fundus photographs,Repeatable glaucomatous visual field loss on standard automated perimetry,internal,no,glaucomatous optic neuropathy,42.9,,
Islam (2025),Islam (2025),2025,Bangladesh,Asia,hospital,retrospective,208,100,108,n/r,n/r,multimodal,ResNet-18 fundus-only model; custom CNN OCT-only model; dual-branch mid-level feature fusion model using fundus + OCT,Expert clinician diagnosis based on comprehensive clinical evaluation,internal,no,any,48.1,,
Ramzan (2019),Ramzan (2019),2019,Pakistan,Asia,hospital,cross-sectional,50,27,23,n/r,n/r,OCT,Automated ILM/RPE segmentation with computed cup-to-disc ratio threshold classification,Clinical CDR annotations by ophthalmologists; best reported comparison used senior ophthalmologist 4 as reference,internal,no,any,54,,
Zemborain (2020),Zemborain (2020),2020,United States,North America,hospital,prospective,100,64,36,55.5,35.0,OCT,none; OCT specialist human interpretation of Spectralis HRA+OCT scans,"Glaucoma specialist diagnosis of glaucomatous optic neuropathy using all available clinical information including family history, repeat visits, intraocular pressure, visual fields, and OCT",none,no,glaucomatous optic neuropathy,64.0,,
Asaoka (2019),Lee (2020),2019,Japan,Asia,hospital,mixed,196,114,82,58.0,61.7,OCT,deep learning convolutional neural network transfer model; random forest; support vector machine,Glaucomatous optic disc change confirmed by glaucoma specialists plus glaucomatous visual field change by Anderson-Patella criteria; open angle glaucoma with MD > -5 dB for testing dataset,external,no,POAG,58.2,,
Rasel (2024),Rasel (2024),2024,United States/United Kingdom,mixed,research,retrospective,n/r,n/r,n/r,n/r,n/r,OCT,"2D-ResNet18, 3D-ResNet18, 3D-DenseNet121, 3D-CNN-Encoder",ICD-10 code H40.1 for UK Biobank POAG; provided labels from Maetschke et al. ONH-OCT dataset,internal,no,POAG,n/r,,
Garcia-Lopez (2026),García-López (2026),2026,"mixed: Spain, Singapore, China, Bangladesh, Pakistan, Mexico, unknown",mixed,mixed,retrospective,163,31,132,n/r,n/r,multimodal,"CNN ensemble using CFP models ResNet50, DenseNet169, InceptionV3 and OCT models ResNet50, Xception, MobileNetV3 with MV, AV, MBWV, MBWVe, SVM stacking, and MLP fusion",Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,both,no,any,19.0,,
Rodriguez-Robles (2023),Rodriguez-Robles (2023),2023,Spain,Europe,hospital,cross-sectional,208,47,161,61.61,64.9,multimodal,decision trees; support vector machines,"ophthalmologist classification of patients as healthy, glaucoma, or suspicious",internal,no,any,22.6,,
Phene (2019),Phene (2019),2019,United States; India; United Kingdom,mixed,mixed,retrospective,11193,1391,9802,median 57 years in validation A; median 64 years in validation B; n/r in validation C,53.2% in validation A; 4.7% in validation B; n/r in validation C,fundus,10-network Inception-v3 deep convolutional neural network ensemble,"Validation A: adjudicated fellowship-trained glaucoma specialist grading of fundus photographs; Validation B: glaucoma-related ICD/optic nerve head referral codes from VA teleretinal screening records; Validation C: glaucoma specialist diagnosis based on full glaucoma workup including history, clinical examination, visual field, and OCT",both,yes,glaucomatous optic neuropathy,12.4% overall validation; 18.1% validation A; 9.2% validation B; 81.7% validation C,,
Russakoff (2020),Russakoff (2020),2020,United States; Hong Kong; India,mixed,hospital,retrospective,1936,1135,801,US referable 68.25; US nonreferable 67.59; Hong Kong referable 65.9; Hong Kong nonreferable 65.27; India referable 63.84; India nonreferable 54.763,n/r,OCT,gNet3D 3D convolutional neural network; comparator Maetschke et al. 3D CNN framework,"Clinical labeling by glaucoma fellowship-trained ophthalmologist/specialists using chart review, fundus image, visual field, OCT RNFL/GCIPL parameters, IOP-lowering treatment history; senior glaucoma specialist arbitration for conflicts; external datasets labeled by glaucoma specialists as true glaucoma or true normal",both,yes,other: referable glaucoma,58.6,,
Civit-Masot (2020),Civit-Masot (2020),2020,India; Spain,mixed,research,retrospective,250,n/r,n/r,n/r,n/r,fundus,Dual system combining Generalized U-Net disc/cup segmentation with CDR feature extraction and MobileNetV2 transfer-learning fundus classification; ensemble fusion,Public dataset labels certified by a professional/ophthalmologist; manual disc/cup labels for segmentation ground truth,internal,no,any,n/r,,
Alryalat (2024),AlRyalat (2024),2024,China,Asia,research,retrospective,400,40,360,n/r,n/r,fundus,multimodal ChatGPT-4,REFUGE dataset labels; glaucomatous cases identified by optic nerve head damage and reproducible visual field defects,external,no,glaucomatous optic neuropathy,10,,
Senthil (2025),Senthil (2025),2025,India,Asia,hospital,prospective,213,162,51,55 ± 14.7,38,fundus,Medios Glaucoma AI integrated on Remidio Fundus on Phone FOP NM10 smartphone-based fundus camera,"Comprehensive glaucoma workup and final diagnosis by glaucoma specialist using clinical assessment, visual fields, SD-OCT, fundus/optic disc examination",external,yes,any,76.06,,
Serte (2021),Serte (2021),2020,n/r,n/r,research,retrospective,1542,756,786,n/r,n/r,fundus,"Graph-based saliency with CNN ensembles: AlexNet, ResNet-50, ResNet-152; fusion methods SP, PP, MV, SMP","Ahn et al. public fundus image dataset labels: no glaucoma, early glaucoma, advanced glaucoma",internal,no,any,49.0,,
Sanchez-Morales (2022),Sanchez-Morales (2022),2022,Spain and mixed public datasets,mixed,mixed,cross-sectional,2195,875,1320,n/r,n/r,fundus,CNN; CapsNet; convolutional denoising autoencoder (CDAE); K-NN soft-voting ensemble,Original public dataset labels for JOINT dataset; expert ophthalmologist diagnosis for PAPILA dataset,internal,no,any,39.9,,
Krishnaadithya (2021),Krishna Adithya (2021),2021,Singapore; India,Asia,mixed,retrospective,376,134,242,n/r,n/r,fundus,EffUnet-SpaGen,Expert/public dataset labels and manual optic disc/cup annotations from ORIGA and DRISHTI-GS1,both,no,any,35.6,,
Shen (2023),Shen (2023),2023,mixed public datasets; countries n/r,mixed,research,retrospective,8351,3340,5011,n/r,n/r,fundus,MG-Efficient Net; mask-guided EfficientNetV2-S using U-Net++/ResNet50 OD/OC segmentation masks,public dataset glaucoma diagnostic labels; specific diagnostic criteria n/r,internal,no,any,40.0,,
Shehryar (2020),Shehryar (2020),2020,Pakistan,Asia,hospital,cross-sectional,50,28,22,n/r,n/r,multimodal,H-CAD hybrid computer-aided diagnosis system using fundus HSF/HTF SVM modules and SD-OCT CDR module,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,both,no,any,56.0,,
Hirota (2020),Hirota (2020),2020,Japan,Asia,hospital,retrospective,337,207,130,n/r,n/r,fundus,"Fine-tuned VGG16 convolutional neural network; RGB, grayscale, and red/green/blue channel variants","Complete ophthalmological examination and review by a glaucoma specialist using Japan Glaucoma Society Guidelines; exams included OCT, IOP, Humphrey visual field, and visual acuity",both,yes,any,61.4,,
Schottenhamml (2021),Schottenhamm (2021),2021,Germany,Europe,hospital,retrospective,259,184,75,50.6,50.8,OCT-A,"CNNs: DenseNet121, DenseNet161, ResNet152, ResNeXt-50-32x4d, WideResNet-101-2; best models reported by plexus","standardized ophthalmological examination including intraocular pressure by Goldmann tonometry, fundus photography, automated visual field testing, OCT structural measures, and glaucoma registry diagnosis",internal,no,any,71.0,,
Shoukat (2023),Shoukat (2023),2023,n/r,mixed,research,retrospective,1940,585,1355,n/r,n/r,fundus,ResNet-50 CNN with grayscale preprocessing and data augmentation,"Public dataset ground-truth glaucoma labels/annotations from G1020, DRISHTI-GS, RIM-ONE, and ORIGA",internal,no,any,30.15,,
Chang (2021),Chang (2021),2021,Republic of Korea,Asia,screening,retrospective,6013,579,5434,55.7,45.4,fundus,"ResNet-50 deep learning models for referable glaucoma, increased cup-to-disc ratio, disc rim narrowing, and retinal nerve fiber layer defect","Three board-trained ophthalmologists annotated fundus images using ISGEO-based criteria; referable glaucoma was glaucoma suspect or glaucoma most likely based on vertical cup-to-disc ratio, disc rim narrowing, disc hemorrhage, or RNFLD",internal,yes,any,9.6,,
Sidhu (2024),Sidhu (2024),2024,India,Asia,hospital,retrospective,975,440,535,57.9,52.3,fundus,Lobe software using ResNet50V2 convolutional neural network,single senior glaucoma specialist grading color fundus photographs as normal optic nerve head or glaucomatous optic neuropathy,internal,no,glaucomatous optic neuropathy,45.1,,
Shyamalee (2024),Shyamalee (2024),2024,"mixed public datasets (RIM-ONE, ACRIMA, ORIGA, REFUGE, DRISHTI-GS)",mixed,research,retrospective,3598,1153,2445,n/r,n/r,fundus,Attention U-Net with modified ResNet50 backbone for optic disc/cup segmentation plus modified Inception V3 classifier; Grad-CAM and Grad-CAM++ explainability; GlaucoCare web application,public dataset labels/annotations by ophthalmologists or glaucoma/eye specialists,internal,no,any,32.05,,
Nugraha (2025),Nugraha (2025),2025,mixed public datasets,mixed,research,retrospective,12316,4767,7549,n/r,n/r,fundus,"InceptionV3, ResNet50, DenseNet121, and MobileNetV2 CNNs with binary cross-entropy, focal loss, and weighted binary cross-entropy; Grad-CAM used for visual explanation","Original labels from 19 public fundus datasets, usually assigned by trained graders, ophthalmologists, or glaucoma specialists from fundus photograph evaluation, sometimes supplemented by clinical data such as IOP or optic disc notes; no uniform confirmatory standard",internal,no,any,38.7,,
Chavan (2025),Chavan (2025),2025,Singapore for ORIGA; n/r for REFUGE and G1020,Asia,research,retrospective,2870,n/r,n/r,n/r,n/r,fundus,"GlaucoAttentNet / GlaucoAttent Net; comparator methods included UDA, Vision Transformer, Grad-CAM-based CNN, FGSA-HDNN, U-Net+TL, Ensemble+RF, AGSE Net, EfficientNet, SEDC","Public dataset ground-truth labels and expert annotations for glaucoma diagnosis and OD/OC segmentation in ORIGA, REFUGE, and G1020",internal,no,any,n/r,,
Gheisari (2021),Gheisari (2021),2021,Australia,Oceania,research,cross-sectional,695,379,316,Glaucoma 65.1; normal 47,44.5,fundus,"VGG16, ResNet50, VGG16+LSTM, ResNet50+LSTM","Clinical diagnosis by glaucoma specialist using dilated stereoscopic optic nerve head examination and standard automated perimetry; normals required normal visual field, normal ocular health, IOP <22 mmHg, and specialist confirmation",internal,no,any,54.5,,
Singh (2022),Singh (2022),2022,Spain,Europe,research,retrospective,110,25,85,53-54,53.8,fundus,"Customized particle swarm optimization (CPSO) with KNN, SVM, random forest, and decision tree classifiers using univariate and feature-importance feature selection",DRIONS-DB public dataset labels; optic-disc ground-truth markers created by two doctors,internal,no,any,23.1,,
Szanto (2025),Szanto (2025),2025,United States; Ireland; mixed international healthy/control sources,mixed,mixed,cross-sectional,7014,1839,5175,54.2,35,OCT,ResNet-3D-18 deep learning models using unsegmented 3D ONH OCT volumes: Model A full OCT volume; Model B peripapillary region only; Model C optic nerve head only,"Clinical diagnosis of glaucoma, NAION, optic neuritis, or healthy status from clinical records/trials/referral clinics; RNFL thickness used for eligibility/characterization",internal,unclear,any,26.2,,
Song (2025),Song (2025),2025,Taiwan,Asia,hospital,retrospective,1416,n/r,n/r,n/r,n/r,multimodal,Robust concatenated AI model combining CNN fundus-image model and ANN retinal-thickness model using WA_MT and WA_RNFL,Humphrey Field Analyzer visual field mean defect (V-MD) severity classification / clinical diagnosis,internal,no,other,about 40 early-stage glaucoma; about 60 all glaucoma including moderate/severe,,
Haider (2023),Haider (2023),2023,mixed public datasets,mixed,research,retrospective,1359,n/r,n/r,n/r,n/r,fundus,FBSS-Net; ResNet-18; ResNet-50; SLSR-Net,public dataset glaucoma labels and/or ground-truth OD/OC masks used for vCDR; clinical reference standard not reported,internal,no,any,n/r,,
Alasmari (2025),Alasmari (2025),2025,China,Asia,research,retrospective,288,142,146,n/r,n/r,fundus,YOLOv11 optic-disc ROI detection followed by U-Net backbones or MaskFormer Swin-Base OD/OC segmentation with vCDR-based glaucoma classification,REFUGE dataset binary glaucoma labels annotated by seven ophthalmologists and reviewed by one ophthalmologist,internal,no,any,49.31,,
Medeiros (2019),Medeiros (2019),2019,United States,North America,research,cross-sectional,2947,2070,877,test DTA groups: healthy 56.5±15.9; glaucoma 68.1±12.8,test DTA groups: healthy 59.1; glaucoma 45.2,fundus,ImageNet-pretrained ResNet34 deep convolutional neural network predicting SD-OCT average RNFL thickness from optic disc photographs,"Glaucoma defined by repeatable SAP visual field loss plus glaucomatous optic neuropathy on slit-lamp fundus examination; healthy controls had normal optic discs, no elevated IOP history, and normal SAP",internal,yes,glaucomatous optic neuropathy,70.2,,
Leonardo (2022),Leonardo (2022),2022,mixed,mixed,research,retrospective,3187,1102,2085,n/r,n/r,fundus,MobileNetV2; EfficientNetB0; CycleGAN-based RetinaQualEnhancer/RetinaQualDegrader augmentation,"Public dataset glaucoma labels from ORIGA, Drishti-GS, REFUGE, RIM-ONE and ACRIMA",internal,no,glaucomatous optic neuropathy,34.58,,
Upadhyaya (2025),Upadhyaya (2025),2025,India,Asia,screening,prospective,299,22,277,45 ± 14.4,52.2,fundus,Offline Medios AI-Glaucoma software integrated with Remidio Fundus-on-Phone FOP NM-10,"Tele-ophthalmologist diagnosis for the full 299-participant primary 2x2 analyses; glaucoma specialist comprehensive assessment with clinical examination, Humphrey visual field analysis, and OCT for the referred base-hospital subset",external,yes,any,7.4,,
Upadhyaya (2025b),Upadhyaya (2025b),2025,India,Asia,screening,prospective,299,22,277,45 ± 14.4,52.2,fundus,Medios AI-Glaucoma / Medios Glaucoma AI integrated with Remidio FOP NM-10,"Tele-ophthalmologist diagnosis from fundus images/history for full-cohort contingency tables; glaucoma specialist diagnosis using clinical examination, IOP/gonioscopy, Humphrey visual field, and OCT for referred subset",external,yes,any,7.4,,
Wang (2023),Wang (2023),2023,China,Asia,research,retrospective,100,50,50,40.64,n/r,multimodal,Mstnet; ResNet101 fundus branch; Video Swin Transformer OCT branch,"Labels assigned by ophthalmologists in GAMMA dataset as no glaucoma, early glaucoma, or moderate-to-severe glaucoma",internal,unclear,any,50,,
Wang (2021),Wang (2021),2021,"mixed public datasets (Spain, Germany, India)",mixed,research,retrospective,686,339,347,n/r,n/r,fundus,"Glaucoma-Net; transfer-learned AlexNet and VGG-16 using ONH fundus images, SFS-derived 3D topography maps, and augmented ONH images",Public dataset labels/annotations by more than one ophthalmology medical expert; specific clinical diagnostic criteria n/r,internal,no,any,49.4,,
Liu (2024),Liu (2024),2024,China,Asia,community,retrospective,1561,136,1425,66.94,53.9,OCT,"Multi-region and multi-scan-pattern OCT fusion model with attention multi-scan-pattern fusion module (AMSFM) and attention multi-region fusion module (AMRFM), ResNet18-based feature extractor","Expert classification as glaucoma or normal using comprehensive clinical evidence including visual field assessments, retinal layer thickness map, and other clinical indicators",internal,no,any,8.71,,
Sangchocanonta (2025),Sangchocanonta (2025),2025,Thailand,Asia,hospital,retrospective,9380,2591 confirmed glaucoma; 3837 including glaucoma suspects,5543 no glaucoma,n/r,n/r,fundus,DeiT-S vision transformer with polar transformation and pie augmentation; comparators ConvNeXt-S + local/polar + donut and DeiT-S + polar + donut,"Consensus/majority labels from at least 3 well-trained ophthalmologists; if no majority, an experienced supervisor assigned final diagnosis; DRISHTI-GS1 dataset labels for external test",both,no,any,27.62 confirmed glaucoma; 40.91 including glaucoma suspects,,
Lian (2024),Lian (2024),2024,mixed,mixed,research,retrospective,n/r,n/r,n/r,n/r,n/r,fundus,CNN-vision transformer using Inception-ResNet-v2 backbone,n/r,internal,unclear,other,n/r,,
Xu (2021),Xu (2021),2021,China,Asia,hospital,cross-sectional,1882,877,1005,n/r,52,fundus,Transfer Induced Attention Network (TIA-Net); CNN; VGG; GoogLeNet; ResNet; Chen et al.; Shibata et al.; HOS-LR; Wavelet-LR; Gabor-LR; HWG; NMD+CNN; SOD+CNN; NMD+Attention,Manual labels by professional ophthalmologists from Beijing Tongren Eye Center,both,no,any,46.6,,
