Study,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct
Russakoff (2020),2020,United States; Hong Kong; India,North America; Asia,hospital,retrospective,1095,667,428,68.25 referable; 67.59 nonreferable,n/r,OCT,gNet3D,"glaucoma specialist chart review using fundus photographs, visual fields, OCT reports, intraocular pressure and treatment history",both,yes,any,60.91%
Zemborain (2020),2020,United States,North America,hospital,cross-sectional,100,64,36,55.5,35.0%,OCT,n/r,"glaucoma specialist classification of GON using all available clinical information including family history, repeat visits, intraocular pressure, 10-2 and 24-2 visual fields, and OCT",internal,yes,GON,64.0%
Alryalat (2024),2024,China,Asia,research,retrospective,400,40,360,n/r,n/r,fundus,ChatGPT-4,REFUGE dataset labels; glaucomatous cases identified based on optic nerve head damage and reproducible visual field defects,external,no,any,10%
Nugraha (2025),2025,Indonesia,Asia,research,retrospective,12316,4767,7549,n/r,n/r,fundus,"Weighted loss CNN models: InceptionV3, ResNet50, DenseNet121, MobileNetV2","public dataset labels from SMDG-19 contributing datasets based on fundus photograph evaluation, sometimes supplemented by clinical data such as IOP or optic disc notes",internal,no,any,38.7%
Sanchez-Morales (2022),2022,Spain,Europe,mixed,retrospective,2195,875,1320,n/r,n/r,fundus,"K-NN soft voting ensemble of CNN, CapsNet and CDAE",expert-labelled fundus image diagnosis / source dataset labels,internal,no,any,39.9
Senthil (2025),2025,India,Asia,hospital,prospective,213,162,51,55,38%,fundus,Medios Glaucoma AI integrated with Remidio Fundus on Phone FOP NM10,"glaucoma specialist diagnosis based on comprehensive clinical assessment, visual field testing, SD-OCT, and fundus/optic disc examination",external,yes,any,76.06%
Islam (2025),2025,Bangladesh,Asia,hospital,cross-sectional,208,100,108,n/r,n/r,multimodal,dual-branch fundus-OCT feature-fusion CNN,comprehensive clinical evaluation by expert clinicians/senior ophthalmologists,internal,no,any,48.1%
Shen (2023),2023,China,Asia,research,retrospective,8351,3340,5011,n/r,n/r,fundus,MG-Efficient Net,public dataset glaucoma diagnostic labels; ORIGA segmentation labels for OD/OC,both,no,any,40.0
Krishnaadithya (2021),2021,Singapore; India,Asia,mixed,retrospective,751,238,513,n/r,n/r,fundus,EffUnet-SpaGen,ophthalmologist grading/consensus with manual optic disc and cup annotations,both,no,any,31.7%
Hirota (2020),2020,Japan,Asia,hospital,retrospective,260,130,130,n/r,n/r,fundus,VGG16 CNN,"complete ophthalmological examination including OCT, IOP, visual field, and best-corrected visual acuity; glaucoma diagnosis reviewed by a glaucoma specialist using Japan Glaucoma Society Guidelines",internal,no,any,50
Shehryar (2020),2020,Pakistan,Asia,hospital,cross-sectional,50,28,22,n/r,n/r,multimodal,H-CAD,ground truth from Armed Forces Institute of Ophthalmology dataset annotated/validated by ophthalmologists,internal,no,any,56
Chang (2021),2021,Republic of Korea,Asia,screening,retrospective,1653,223,1430,55.7,45.4,fundus,deep learning model,3 board-trained ophthalmologists using ISGEO guidelines and predefined criteria,internal,yes,any,13.5
Schottenhamml (2021),2021,Germany,Europe,hospital,retrospective,259,184,75,50.6,50.8%,OCT-A,CNN using pretrained DenseNet/ResNet/ResNeXt/WideResNet architectures,clinical diagnosis from standardized ophthalmological examination,internal,no,any,71.0%
Krishnaadithya (2021),2021,Singapore; India,Asia,mixed,retrospective,751,238,513,n/r,n/r,fundus,EffUnet-SpaGen,expert consensus/manual dataset labels with manually annotated optic disc/cup ground truth,both,no,any,31.7%
Shyamalee (2024),2024,Sri Lanka,Asia,research,retrospective,3598,n/r,n/r,n/r,n/r,fundus,GluacoCare,"public dataset labels/segmentation masks from RIM-ONE, ACRIMA, ORIGA, REFUGE, and DRISHTI-GS1",both,no,any,n/r
Sidhu (2024),2024,India,Asia,hospital,retrospective,975,440,535,n/r,52.3%,fundus,Lobe (Microsoft 2021),single senior glaucoma specialist grading of color fundus photographs for GON,internal,no,GON,45.1%
Shoukat (2023),2023,mixed,mixed,research,retrospective,1940,585,1355,n/r,n/r,fundus,ResNet-50 CNN,public dataset labels/ground truth annotations,internal,no,any,30.15%
Song (2025),2025,Taiwan,Asia,hospital,retrospective,1416,850,566,n/r,n/r,multimodal,Robust concatenated AI model,visual field mean defect (V-MD) severity classification with fundus images and retinal thickness measures,internal,no,any,60%
Gheisari (2021),2021,Australia,Oceania,mixed,prospective,695,379,316,glaucoma 65.1 ± 13; normal 47 ± 15,44.5%,fundus,combined CNN/RNN,"clinical glaucoma specialist diagnosis based on dilated stereoscopic optic nerve head examination and standard automated perimetry; normal controls required normal visual field, normal optic disc appearance, normal ocular health and IOP <22 mmHg",internal,no,any,54.5%
Haider (2023),2023,Republic of Korea,Asia,research,retrospective,n/r,n/r,n/r,n/r,n/r,fundus,FBSS-Net,public dataset ground-truth optic disc/optic cup annotations and dataset glaucoma labels,external,no,any,n/r
Singh (2022),2022,India,Asia,research,retrospective,110,25,85,n/r,53.8,fundus,"CPSO + machine learning classifiers (KNN, SVM, random forest, decision tree) with univariate or feature-importance feature selection",DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,internal,no,any,23.1
Szanto (2025),2025,United States; other countries not specified,North America; other continents n/r,mixed,cross-sectional,7014,1839,5175,54.2,35%,OCT,ResNet-3D-18 deep learning model,clinical diagnosis/source cohort labels,internal,no,any,26.2%
Alasmari (2025),2025,China; Singapore; Germany,Asia; Europe,research,retrospective,2870,584,2286,n/r,n/r,fundus,YOLOv11 + MaskFormer/U-Net with vCDR-based classification,dataset labels/annotations by ophthalmologists or clinical diagnosis,internal,no,any,20.35%
Chavan (2025),2025,Singapore for ORIGA; n/r for REFUGE and G1020,Asia for ORIGA; n/r for REFUGE and G1020,research,retrospective,2870,n/r,n/r,n/r,n/r,fundus,GlaucoAttent Net,public dataset ground-truth OD/OC annotations and clinical glaucoma labels,internal,no,any,n/r
Upadhyaya (2025b),2025,India,Asia,screening,cross-sectional,299,39,260,45 ± 14.4,52.2%,fundus,Medios AI-Glaucoma,"glaucoma specialist diagnosis using comprehensive eye examination including slit lamp examination, Goldmann applanation tonometry, gonioscopy, fundus evaluation, visual field analysis, and OCT",external,yes,any,13%
Leonardo (2022),2022,Portugal,Europe,research,retrospective,3187,1157,2030,n/r,n/r,fundus,Glaucoma CADx with RetinaQualEvaluator/CycleGAN augmentation,public dataset glaucoma labels,internal,no,GON,36.3
Upadhyaya (2025),2025,India,Asia,screening,prospective cross-sectional,299,22,277,45 ± 14.4,52.2,fundus,Medios AI-Glaucoma,masked tele-ophthalmologist diagnosis from fundus photographs; glaucoma specialist comprehensive evaluation for referred participants only,external,yes,any,7.4
Medeiros (2019),2019,United States,North America,mixed,cross-sectional,463,171,292,64.0,55.9,fundus,OCT-trained deep learning algorithm,glaucoma diagnosis based on repeatable SAP visual field loss or glaucoma hemifield test outside normal limits plus signs of glaucomatous optic neuropathy on slit-lamp fundus examination; healthy eyes had normal optic disc appearance and normal SAP,internal,no,GON,36.9
Wang (2021),2021,mixed,mixed,research,retrospective,686,339,347,n/r,n/r,fundus,Glaucoma-Net,labels/annotations by medical experts in source public datasets,internal,no,any,49.4
Wang (2023),2023,China,Asia,research,n/r,100,50,50,40.64,n/r,multimodal,Mstnet,ophthalmologist labels,internal,no,any,50
Liu (2024),2024,China,Asia,community,retrospective,1561,136,1425,66.94,53.9,OCT,multi-region and multi-scan-pattern fusion model with dynamical region score,"expert diagnosis using comprehensive clinical evidence including visual field assessments, retinal layer thickness map, and other clinical indicators",internal,no,any,8.7
Lian (2024),2024,China,Asia,research,n/r,n/r,n/r,n/r,n/r,n/r,fundus,CNN-vision transformer,n/r,internal,no,any,n/r
Liu (2024),2024,China,Asia,community,retrospective,1561,136,1425,66.94,53.9%,OCT,multi-region and multi-scan-pattern fusion model with dynamic region score,"expert classification using comprehensive clinical evidence including visual field assessments, RNFL thickness map, and other clinical indicators",internal,no,GON,8.7%
Xu (2024),2024,China,Asia,hospital,retrospective,523,113,410,47.42,43.98,multimodal,dual-modal fusion network,two senior glaucoma specialists independently diagnosed each eye as GON/non-GON using fundus images and OCT reports,internal,no,GON,21.6
Kui (2025),2025,mixed,mixed,research,retrospective,2870,1023,1847,n/r,n/r,fundus,PK-Net,dataset glaucoma labels/clinical diagnosis,both,no,any,35.64%
Sangchocanonta (2025),2025,Thailand,Asia,hospital,retrospective,9380,2591,5543,n/r,n/r,fundus,DeiT-S vision transformer with polar transformation and pie augmentation; comparators were ConvNeXt-S + local/polar + donut and DeiT-S + polar + donut,"Consensus/majority labels from at least 3 well-trained ophthalmologists; if no majority agreement, an experienced supervisor assigned the final diagnosis",both,no,any,27.62%
Luo (2021),2021,China,Asia,research,retrospective,1259,259,1000,n/r,n/r,fundus,FCL-EfficientNet-B3,trained ophthalmologist annotation,internal,yes,any,20.6
Xiong (2025),2025,n/r,n/r,research,retrospective,1505,476,1029,n/r,n/r,fundus,Multi-GlaucNet,public dataset labels for with/without glaucoma; adjudication method n/r,internal,no,any,31.6%
Surya (2023),2023,India,Asia,mixed,prospective,1085,n/r,n/r,n/r,n/r,fundus,Dr Noon AI system,grading by glaucoma specialists,internal,yes,any,6.39
Rao (2024),2024,India,Asia,hospital,prospective cross-sectional,243,111,132,59 ± 12,49%,fundus,Medios AI-Glaucoma,final diagnosis by glaucoma specialists following comprehensive glaucoma work-up,external,yes,any,45.7%
Atalay (2022),2022,Turkey,Europe/Asia,hospital,retrospective,5388,320,238,n/r,71%,fundus,2D CNN; ResNet-50; ResNet-101; VGG-19,expert clinician labeling of fundus photographs using optic disc/cup and retinal nerve fiber criteria; consensus of two glaucoma specialists or majority/final third expert adjudication,internal,no,any,57.3%
Xu (2021)a,2021,China,Asia,hospital,retrospective,1882,877,1005,n/r,52%,fundus,Transfer Induced Attention Network (TIA-Net),manual diagnosis/labels by professional ophthalmologists,both,no,any,46.6%
Guo (2021),2021,n/r,n/r,research,retrospective,250,75,175,n/r,n/r,fundus,MobileNetV2,retinal specialist verified dataset labels,internal,no,any,30.0
Guo (2022)b,2022,China,Asia,research,retrospective,6904,2199,4705,n/r,n/r,fundus,MTCLF,glaucoma expert labels / clinical glaucoma diagnostic labels,both,unclear,any,31.85
Mansour (2021),2021,India; Spain,Asia; Europe,research,cross-sectional,260,74,85,n/r,n/r,fundus,Perceptron based Convolutional Multi-Layer Neural Network,expert ophthalmologist annotations of optic cup/optic disc boundaries and diagnostic labels from public datasets,internal,unclear,any,n/r
Xue (2022),2022,China,Asia,hospital,retrospective,3509,2545,964,44.9,50.3%,multimodal,MFDL,three experienced glaucoma experts using American Academy of Ophthalmology glaucoma severity guidelines; consensus grading,internal,no,any,72.5%
Singh (2023),2023,India,Asia,research,retrospective,1850,168 in ORIGA; REFUGE n/r,482 in ORIGA; REFUGE n/r,n/r,n/r,fundus,"CAD approach using 65 structural and non-structural fundus features with PSO, ABC, BCS, or PSO-ABC feature selection and RF/SVM/ensemble classifiers",public ORIGA/REFUGE dataset labels; exact clinical reference standard n/r,internal,no,any,25.8% in ORIGA; combined n/r
