study_id,title,patient_selection_judgment,patient_selection_support,index_test_judgment,index_test_support,reference_standard_judgment,reference_standard_support,flow_timing_judgment,flow_timing_support,analysis_data_handling_judgment,analysis_data_handling_support,applicability_patients,applicability_index_test,applicability_reference_standard,overall_bias,overall_applicability,reviewer,assessment_date,notes
ST131,DSLN: Dual-tutor student learning network for multiracial glaucoma detection,High,"Retrospective evaluation on Multi-racial fundus datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Multi-racial fundus datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST132,Dual Machine-Learning System to Aid Glaucoma Diagnosis Using Disc and Cup Feature Extraction,High,"Retrospective evaluation on Public datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Public datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST133,Dual-input convolutional neural network for glaucoma diagnosis using spectral-domain optical coherence tomography,High,Retrospective single-center study using Clinical OCT; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to OCT images/scans. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST134,A Dual-Modal Fusion Network Using Optical Coherence Tomography and Fundus Images in Detection of Glaucomatous Optic Neuropathy,High,"Retrospective single-center study using 327 healthy, 87 GON; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST135,"Effects of Study Population, Labeling and Training on Glaucoma Detection Using Deep Learning Algorithms",High,Retrospective multi-center study using UCSD + Columbia; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,Low,"Independent validation or geographically separate test data were reported, which reduces analysis-related optimism.",Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST136,Efficacy for Differentiating Nonglaucomatous Versus Glaucomatous Optic Neuropathy Using Deep Learning Systems,High,Retrospective multi-center study using Multi-center fundus; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST137,Efficacy of a Deep Learning System for Detecting Glaucomatous Optic Neuropathy Based on Color Fundus Photographs,High,Retrospective multi-center study using Large multi-ethnic dataset; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST138,Efficacy of deep learning-based artificial intelligence models in screening and diagnosing glaucoma,Low,"Prospective clinical cohort using 1085 patients. Population is closer to intended clinical or screening use, although abstract-level reporting of consecutive sampling is limited.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on glaucoma specialist, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Patients underwent AI grading and specialist grading within the same prospective clinical workflow across the participating clinics.,Low,Performance was evaluated within a reported clinical or screening workflow rather than only through internal benchmark splits.,Low,Low,Low,Low,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST139,An efficient framework for optic disk segmentation and classification of Glaucoma on fundus images,High,"Retrospective evaluation on Public datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Public datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST140,EffUnet-SpaGen: An Efficient and Spatial Generative Approach to Glaucoma Detection,High,"Retrospective evaluation on ACRIMA, RIM-ONE within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,"Reference standard relied on dataset label from ACRIMA, RIM-ONE rather than a participant-level clinical glaucoma workup using structure and function.",Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST141,An enhanced deep image model for glaucoma diagnosis using feature-based detection in retinal fundus,High,"Retrospective evaluation on Public datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Public datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST142,Enhanced glaucoma detection using ensemble based CNN and spatially based elliptic curve cryptography,High,"Retrospective evaluation on Public datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Public datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST143,Enhancing glaucoma detection through multi-modal integration of retinal images using Swin Transformer,High,"Retrospective evaluation on 2874 cases within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from 2874 cases rather than a participant-level clinical glaucoma workup using structure and function.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST145,An ensemble of deep convolutional neural networks is more accurate and reliable than eye care providers at detecting glaucoma,High,"Retrospective evaluation on Clinical fundus within a clinical design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,All analyzed fundus photographs were graded by the deep-learning ensemble and by human experts within the same labeled evaluation set.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST146,Evaluating real-world performance of an automated offline glaucoma AI on a non-mydriatic fundus camera,Low,"Prospective clinical cohort using LV Prasad Eye Institute. Population is closer to intended clinical or screening use, although abstract-level reporting of consecutive sampling is limited.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on glaucoma specialist, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,"Consecutive participants underwent specialist examination, visual fields, SD-OCT, and AI image analysis in the same prospective study.",Low,Performance was evaluated within a reported clinical or screening workflow rather than only through internal benchmark splits.,Low,Low,Low,Low,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST147,Evaluating the strengths and limitations of multimodal ChatGPT-4 in detecting glaucoma using fundus images,High,"Retrospective evaluation on Public fundus datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Public fundus datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST148,En-ConvNet: A novel approach for glaucoma detection from color fundus images using ensemble of deep convolutional neural networks,High,"Retrospective evaluation on DRISHTI-GS1, ACRIMA, etc within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,"Reference standard relied on dataset label from DRISHTI-GS1, ACRIMA, etc rather than a participant-level clinical glaucoma workup using structure and function.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST149,"Evaluation of an offline, artificial intelligence system for referable glaucoma screening using a smartphone-based fundus camera",Low,"Prospective tertiary glaucoma centre cohort using 243 subjects India. Population is closer to intended clinical or screening use, although abstract-level reporting of consecutive sampling is limited.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on glaucoma specialist, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Participants underwent both AI assessment and manual or clinical evaluation within the reported study workflow.,Low,Performance was evaluated within a reported clinical or screening workflow rather than only through internal benchmark splits.,Low,Low,Low,Low,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST150,Evaluation of the pegasus deep learning system for identifying glaucomatous optic neuropathy on fundus photographs,High,Retrospective clinical study using Clinical fundus; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST151,Explainable framework for Glaucoma diagnosis by image processing and convolutional neural network,High,"Retrospective evaluation on ORIGA-Light, DRISHTI within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,High,"Reference standard relied on dataset label from ORIGA-Light, DRISHTI rather than a participant-level clinical glaucoma workup using structure and function.",Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST152,Explainable Machine Learning Model for Glaucoma Diagnosis and Its Interpretation,High,Retrospective single-center study using Clinical OCT parameters; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,Low,"Independent validation or geographically separate test data were reported, which reduces analysis-related optimism.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST153,Explainable Transformer-Based Framework for Glaucoma Detection from Fundus Images,High,"Retrospective evaluation on Public datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Public datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST154,Explaining the Rationale of Deep Learning Glaucoma Decisions with Adversarial Examples,High,"Retrospective evaluation on Multi-center fundus within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST155,Exploring deep feature-blending capabilities to assist glaucoma screening,High,"Retrospective evaluation on RIM-ONE, ORIGA, DRISHTI within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,"Reference standard relied on dataset label from RIM-ONE, ORIGA, DRISHTI rather than a participant-level clinical glaucoma workup using structure and function.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST156,A Fast and Accurate Method for Glaucoma Screening from Smartphone-Captured Fundus Images,High,"Retrospective evaluation on 50 normal + 60 glaucoma within a clinical design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST157,From Machine to Machine: An OCT-Trained Deep Learning Algorithm for Objective Quantification of Glaucomatous Damage in Fundus Photographs,High,Retrospective clinical study using 2312 eyes 1198 participants; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on vf + oct, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,Low,"Independent validation or geographically separate test data were reported, which reduces analysis-related optimism.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST158,Fully Automated Colorimetric Analysis of the Optic Nerve Aided by Deep Learning and Its Association with Perimetry and OCT,High,Retrospective multi-center study using 477 normal + 333 glaucoma; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST159,Fused framework for glaucoma diagnosis using Optical Coherence Tomography (OCT) image features,High,"Retrospective evaluation on 1110 OCT volumes within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST160,GC-NET for classification of glaucoma in the retinal fundus image,High,"Retrospective evaluation on Public fundus datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Public fundus datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST161,A generalised computer vision model for improved glaucoma screening using fundus images,High,"Retrospective evaluation on 4430 glaucomatous + 2047 healthy discs within a multi-dataset (20 databases) design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST162,A generalizable deep learning regression model for automated glaucoma screening from fundus images,High,"Retrospective evaluation on BMES + GHS cohorts within a population-based design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,The model was evaluated on labeled population cohorts and public datasets at participant or image level without a separate timing concern described.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST163,Generative adversarial network and texture features applied to automatic glaucoma detection,High,"Retrospective evaluation on Public datasets + GAN augmented within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Public datasets + GAN augmented rather than a participant-level clinical glaucoma workup using structure and function.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST164,Glaucoma Assessment from Fundus Images with Fundus to OCT Feature Space Mapping,High,"Retrospective evaluation on 4 public + 2 private within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from 4 public + 2 private rather than a participant-level clinical glaucoma workup using structure and function.,Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST165,Glaucoma classification in 3x3 mm en face macular scans using deep learning,High,Retrospective single-center study using En face macular OCT; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST166,Glaucoma classification using deep learning ensemble and multi-modal image fusion,High,"Retrospective evaluation on CFP + OCT datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from CFP + OCT datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST168,Glaucoma Detection from Raw SD-OCT Volumes: A Novel Approach Focused on Spatial Dependencies,High,Retrospective clinical study using 176 healthy + 144 glaucoma; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,Low,"Independent validation or geographically separate test data were reported, which reduces analysis-related optimism.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST169,Glaucoma detection model by exploiting multi-region and multi-scan-pattern OCT features,High,"Retrospective single-center OCT dataset collected specifically to develop and compare the proposed model, not a consecutive clinical series.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,"All analyzed eyes or images appear to have both index-test output and a reference label, and no major timing issue is described in the abstract.",High,Performance is reported from a locally collected retrospective dataset without clearly independent external validation.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
